league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1718,2017-10-14 Swansea-Huddersfield,1,2017,7196,2017-10-14 15:00:00,84,219,Swansea,Huddersfield,HUD,SWA,0,0.37450000000000006,0,0.596086,0.596086,-1.0583740000000001,11.0,3,3,2.4025,2,1.65446,1.65446,1.0583740000000001,10.323529411764707,4
ENG-Premier League,1718,2017-10-14 Tottenham-Bournemouth,1,2017,7197,2017-10-14 15:00:00,82,73,Tottenham,Bournemouth,BOU,TOT,0,0.1799,0,0.17504,0.17504,-1.7817999999999998,43.44444444444444,1,3,2.6984,1,1.95684,1.95684,1.7817999999999998,4.333333333333333,17
ENG-Premier League,1718,2017-10-14 Watford-Arsenal,1,2017,7198,2017-10-14 17:30:00,90,83,Watford,Arsenal,ARS,WAT,0,0.7794,1,0.988468,0.988468,0.11545700000000003,11.478260869565217,8,3,1.9394999999999998,2,1.63418,0.873011,-0.11545700000000003,16.263157894736842,4
ENG-Premier League,1718,2017-10-15 Brighton-Everton,1,2017,7189,2017-10-15 13:30:00,220,72,Brighton,Everton,EVE,BRI,1,1.7146,1,1.45518,0.694013,-0.364827,8.826086956521738,5,1,0.9769,1,1.05884,1.05884,0.364827,14.941176470588236,9
ENG-Premier League,1718,2017-10-15 Southampton-Newcastle United,1,2017,7195,2017-10-15 16:00:00,74,86,Southampton,Newcastle United,NEW,SOU,1,0.746,2,0.950997,0.950997,-0.0022809999999999775,17.95,6,1,2.0066,2,1.71445,0.953278,0.0022809999999999775,7.115384615384615,9
ENG-Premier League,1718,2017-10-16 Leicester-West Bromwich Albion,1,2017,7192,2017-10-16 20:00:00,75,76,Leicester,West Bromwich Albion,WBA,LEI,1,0.49450000000000005,1,0.155254,0.155254,-0.809023,10.833333333333334,2,1,2.1715,1,0.964277,0.964277,0.809023,7.28,7
ENG-Premier League,1718,2017-10-20 West Ham-Brighton,1,2017,7208,2017-10-20 20:00:00,81,220,West Ham,Brighton,BRI,WHU,3,2.5049,3,1.98345,1.22228,0.653169,19.352941176470587,2,0,0.34099999999999997,0,0.569111,0.569111,-0.653169,12.3125,5
ENG-Premier League,1718,2017-10-21 Chelsea-Watford,1,2017,7199,2017-10-21 19:30:00,80,90,Chelsea,Watford,WAT,CHE,0,1.3739000000000001,2,1.79693,1.79693,0.013779999999999903,8.64516129032258,8,3,1.3724,4,1.78315,1.78315,-0.013779999999999903,9.409090909090908,4
ENG-Premier League,1718,2017-10-21 Huddersfield-Manchester United,1,2017,7201,2017-10-21 15:00:00,219,89,Huddersfield,Manchester United,MUN,HUD,0,0.8752,1,0.807135,0.807135,-0.46030499999999985,3.761904761904762,6,3,1.8124,2,1.26744,1.26744,0.46030499999999985,20.94736842105263,5
ENG-Premier League,1718,2017-10-21 Manchester City-Burnley,1,2017,7202,2017-10-21 15:00:00,88,92,Manchester City,Burnley,BUR,MCI,0,0.0139,0,0.14859,0.14859,-2.80836,20.92,4,3,2.9749000000000003,3,3.71812,2.95695,2.80836,5.666666666666667,13
ENG-Premier League,1718,2017-10-21 Newcastle United-Crystal Palace,1,2017,7203,2017-10-21 15:00:00,86,78,Newcastle United,Crystal Palace,CRY,NEW,0,1.5842,0,0.566845,0.566845,0.296532,10.384615384615385,3,3,0.932,1,0.270313,0.270313,-0.296532,7.2,4
ENG-Premier League,1718,2017-10-21 Southampton-West Bromwich Albion,1,2017,7204,2017-10-21 17:30:00,74,76,Southampton,West Bromwich Albion,WBA,SOU,0,0.26489999999999997,0,0.504128,0.504128,-1.5187519999999997,16.666666666666668,0,3,2.5848,1,2.02288,2.02288,1.5187519999999997,4.884615384615385,7
ENG-Premier League,1718,2017-10-21 Stoke-Bournemouth,1,2017,7205,2017-10-21 15:00:00,85,73,Stoke,Bournemouth,BOU,STO,3,0.9179,2,1.11834,0.357172,-1.243998,7.583333333333333,3,0,1.7687,1,1.60117,1.60117,1.243998,7.793103448275862,9
ENG-Premier League,1718,2017-10-21 Swansea-Leicester,1,2017,7206,2017-10-21 15:00:00,84,75,Swansea,Leicester,LEI,SWA,3,2.4387000000000003,2,1.80814,1.80814,1.2485220000000001,13.444444444444445,5,0,0.38130000000000003,1,0.559618,0.559618,-1.2485220000000001,13.25,2
ENG-Premier League,1718,2017-10-22 Everton-Arsenal,1,2017,7200,2017-10-22 13:30:00,72,83,Everton,Arsenal,ARS,EVE,3,2.8539,5,3.86029,3.86029,3.049301,8.625,17,0,0.09540000000000001,2,0.810989,0.810989,-3.049301,18.210526315789473,0
ENG-Premier League,1718,2017-10-22 Tottenham-Liverpool,1,2017,7207,2017-10-22 16:00:00,82,87,Tottenham,Liverpool,LIV,TOT,0,0.2378,1,0.667771,0.667771,-1.9526589999999997,9.333333333333334,8,3,2.6531000000000002,4,2.62043,2.62043,1.9526589999999997,32.333333333333336,5
ENG-Premier League,1718,2017-10-28 Arsenal-Swansea,1,2017,7209,2017-10-28 15:00:00,83,84,Arsenal,Swansea,SWA,ARS,0,0.399,1,0.8355,0.8355,-1.5422699999999998,22.41176470588235,3,3,2.4318,2,2.37777,2.37777,1.5422699999999998,7.454545454545454,19
ENG-Premier League,1718,2017-10-28 Bournemouth-Chelsea,1,2017,7210,2017-10-28 17:30:00,73,80,Bournemouth,Chelsea,CHE,BOU,3,2.3809,1,1.78362,1.78362,1.328565,22.0,14,0,0.41800000000000004,0,0.455055,0.455055,-1.328565,22.5,8
ENG-Premier League,1718,2017-10-28 Crystal Palace-West Ham,1,2017,7213,2017-10-28 15:00:00,78,81,Crystal Palace,West Ham,WHU,CRY,1,0.148,2,0.742845,0.742845,-1.4127049999999999,10.666666666666666,5,1,2.7682,2,2.91672,2.15555,1.4127049999999999,5.633333333333334,11
ENG-Premier League,1718,2017-10-28 Liverpool-Huddersfield,1,2017,7217,2017-10-28 15:00:00,87,219,Liverpool,Huddersfield,HUD,LIV,0,0.0702,0,0.0554802,0.0554802,-1.3076197999999999,31.6,0,3,2.8686,3,2.14257,1.3631,1.3076197999999999,6.428571428571429,16
ENG-Premier League,1718,2017-10-28 Manchester United-Tottenham,1,2017,7218,2017-10-28 12:30:00,89,82,Manchester United,Tottenham,TOT,MUN,0,1.4831999999999999,0,1.08708,1.08708,0.14358400000000004,7.291666666666667,6,3,1.1813999999999998,1,0.943496,0.943496,-0.14358400000000004,10.434782608695652,4
