shot_id,match_id,player,player_id,team,home_away,minute,result,xG,X,Y,shot_type,situation,last_action,player_assisted,date,home_team,away_team,Match,season
531941,22275,Rodri,2496,Manchester City,away,54,SavedShot,0.020431943237781525,0.865999984741211,0.485,Head,FromCorner,Cross,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531942,22275,Julián Álvarez,10846,Manchester City,away,59,MissedShots,0.08655776083469391,0.8819999694824219,0.33599998474121096,RightFoot,OpenPlay,Pass,Erling Haaland,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531943,22275,Rodri,2496,Manchester City,away,66,BlockedShot,0.10010907053947449,0.8590000152587891,0.3920000076293945,RightFoot,OpenPlay,LayOff,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531944,22275,Nathan Aké,579,Manchester City,away,74,BlockedShot,0.10935002565383911,0.9580000305175781,0.49599998474121093,LeftFoot,SetPiece,None,,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531945,22275,Rodri,2496,Manchester City,away,74,Goal,0.6593173146247864,0.9519999694824218,0.49400001525878906,RightFoot,SetPiece,Rebound,,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531946,22275,Julián Álvarez,10846,Manchester City,away,78,BlockedShot,0.13168953359127045,0.8880000305175781,0.6029999923706054,RightFoot,OpenPlay,Pass,Erling Haaland,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531949,22275,Julián Álvarez,10846,Manchester City,away,85,SavedShot,0.07177942246198654,0.8690000152587891,0.31799999237060544,RightFoot,OpenPlay,Pass,Phil Foden,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531950,22275,Phil Foden,6055,Manchester City,away,87,MissedShots,0.024144073948264122,0.8219999694824218,0.28399999618530275,LeftFoot,SetPiece,Pass,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531951,22275,Aymeric Laporte,2498,Manchester City,away,94,SavedShot,0.11228246241807938,0.9130000305175782,0.5270000076293946,Head,SetPiece,Cross,Julián Álvarez,2023-08-11,Burnley,Manchester City,Burnley v Manchester City,2023
531993,22276,Eddie Nketiah,6482,Arsenal,home,9,MissedShots,0.08700478076934814,0.95,0.5979999923706054,Head,OpenPlay,Cross,Bukayo Saka,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531995,22276,Kai Havertz,5220,Arsenal,home,23,BlockedShot,0.03973983973264694,0.794000015258789,0.5479999923706055,LeftFoot,OpenPlay,Pass,Gabriel Martinelli,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531996,22276,Bukayo Saka,7322,Arsenal,home,24,BlockedShot,0.051885101944208145,0.8819999694824219,0.30700000762939456,RightFoot,OpenPlay,Pass,Thomas Partey,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531997,22276,Eddie Nketiah,6482,Arsenal,home,25,Goal,0.06297741830348969,0.8809999847412109,0.5690000152587891,RightFoot,FromCorner,BallTouch,Gabriel Martinelli,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531998,22276,Bukayo Saka,7322,Arsenal,home,31,Goal,0.037814829498529434,0.794000015258789,0.375,LeftFoot,OpenPlay,Pass,William Saliba,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531999,22276,Eddie Nketiah,6482,Arsenal,home,37,MissedShots,0.07902981340885162,0.9159999847412109,0.34200000762939453,RightFoot,OpenPlay,None,,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532000,22276,Declan Rice,5553,Arsenal,home,43,SavedShot,0.01737094298005104,0.7180000305175781,0.6309999847412109,RightFoot,OpenPlay,Pass,Bukayo Saka,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532001,22276,Takehiro Tomiyasu,7931,Arsenal,home,50,SavedShot,0.019561249762773514,0.750999984741211,0.6509999847412109,RightFoot,OpenPlay,Pass,Gabriel Martinelli,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532002,22276,Martin Odegaard,2517,Arsenal,home,68,BlockedShot,0.036525920033454895,0.8490000152587891,0.2620000076293945,LeftFoot,OpenPlay,Pass,Thomas Partey,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532004,22276,Declan Rice,5553,Arsenal,home,75,SavedShot,0.033978916704654694,0.7780000305175782,0.4329999923706055,RightFoot,OpenPlay,Pass,Kai Havertz,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532006,22276,Declan Rice,5553,Arsenal,home,80,SavedShot,0.06948760896921158,0.865999984741211,0.5329999923706055,RightFoot,OpenPlay,Aerial,,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532009,22276,Kai Havertz,5220,Arsenal,home,84,BlockedShot,0.06931421905755997,0.9430000305175781,0.30100000381469727,RightFoot,OpenPlay,Pass,Martin Odegaard,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532010,22276,Bukayo Saka,7322,Arsenal,home,86,SavedShot,0.14559100568294525,0.9119999694824219,0.5209999847412109,LeftFoot,OpenPlay,Pass,Kai Havertz,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532011,22276,Martin Odegaard,2517,Arsenal,home,92,BlockedShot,0.047283489257097244,0.7730000305175782,0.625999984741211,LeftFoot,OpenPlay,Pass,Leandro Trossard,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532013,22276,Martin Odegaard,2517,Arsenal,home,97,MissedShots,0.045054949820041656,0.8159999847412109,0.385,LeftFoot,OpenPlay,Pass,Bukayo Saka,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
531994,22276,Brennan Johnson,10760,Nottingham Forest,away,10,MissedShots,0.15999659895896912,0.8390000152587891,0.3920000076293945,RightFoot,OpenPlay,BallRecovery,Willy Boly,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532003,22276,Ola Aina,725,Nottingham Forest,away,69,BlockedShot,0.0158710777759552,0.7440000152587891,0.7130000305175781,RightFoot,OpenPlay,TakeOn,Orel Mangala,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532005,22276,Willy Boly,6850,Nottingham Forest,away,77,SavedShot,0.08395855873823166,0.955999984741211,0.47900001525878905,Head,FromCorner,Aerial,Morgan Gibbs-White,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532007,22276,Taiwo Awoniyi,7814,Nottingham Forest,away,81,Goal,0.6045634746551514,0.95,0.5709999847412109,RightFoot,OpenPlay,Pass,Anthony Elanga,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532008,22276,Morgan Gibbs-White,6857,Nottingham Forest,away,82,MissedShots,0.08266659080982208,0.835,0.6409999847412109,RightFoot,OpenPlay,Pass,Anthony Elanga,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532012,22276,Cheikhou Kouyaté,532,Nottingham Forest,away,94,MissedShots,0.01924874819815159,0.7669999694824219,0.475,RightFoot,SetPiece,None,,2023-08-12,Arsenal,Nottingham Forest,Arsenal v Nottingham Forest,2023
532016,22277,David Brooks,6820,Bournemouth,home,11,MissedShots,0.038693517446517944,0.794000015258789,0.4879999923706055,LeftFoot,OpenPlay,Pass,Dominic Solanke,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532020,22277,Ryan Christie,10744,Bournemouth,home,25,SavedShot,0.01685369573533535,0.7680000305175781,0.22299999237060547,LeftFoot,FromCorner,Pass,David Brooks,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532026,22277,David Brooks,6820,Bournemouth,home,40,SavedShot,0.012815321795642376,0.7230000305175781,0.37099998474121093,LeftFoot,OpenPlay,None,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532027,22277,David Brooks,6820,Bournemouth,home,49,SavedShot,0.017082108184695244,0.8159999847412109,0.3920000076293945,LeftFoot,OpenPlay,Aerial,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532029,22277,Dominic Solanke,1679,Bournemouth,home,54,SavedShot,0.24690678715705872,0.9580000305175781,0.325,RightFoot,OpenPlay,Throughball,Max Aarons,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532032,22277,Philip Billing,6034,Bournemouth,home,60,BlockedShot,0.06008746847510338,0.8030000305175782,0.2720000076293945,LeftFoot,DirectFreekick,Standard,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532033,22277,Joe Rothwell,561,Bournemouth,home,64,ShotOnPost,0.025902098044753075,0.785,0.6840000152587891,RightFoot,FromCorner,TakeOn,Ryan Christie,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532035,22277,David Brooks,6820,Bournemouth,home,70,MissedShots,0.024953393265604973,0.8030000305175782,0.34599998474121096,LeftFoot,OpenPlay,Pass,Philip Billing,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532036,22277,Philip Billing,6034,Bournemouth,home,74,MissedShots,0.02138555236160755,0.8809999847412109,0.624000015258789,Head,SetPiece,Cross,Joe Rothwell,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532037,22277,Kieffer Moore,10743,Bournemouth,home,76,BlockedShot,0.042668137699365616,0.8869999694824219,0.49400001525878906,Head,OpenPlay,Chipped,Dominic Solanke,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532038,22277,Dominic Solanke,1679,Bournemouth,home,77,MissedShots,0.03189890831708908,0.8830000305175781,0.5929999923706055,Head,OpenPlay,Cross,Milos Kerkez,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532039,22277,Antoine Semenyo,11363,Bournemouth,home,81,MissedShots,0.025760043412446976,0.7830000305175782,0.37099998474121093,RightFoot,OpenPlay,None,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532040,22277,Dominic Solanke,1679,Bournemouth,home,81,Goal,0.9294283986091614,0.965,0.45099998474121095,RightFoot,OpenPlay,TakeOn,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532043,22277,Antoine Semenyo,11363,Bournemouth,home,88,BlockedShot,0.015813298523426056,0.725,0.42700000762939455,LeftFoot,OpenPlay,BallRecovery,Chris Mepham,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532014,22277,Pablo Fornals,2335,West Ham,away,2,MissedShots,0.0491863414645195,0.8390000152587891,0.6329999923706054,RightFoot,OpenPlay,None,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532015,22277,Jarrod Bowen,1776,West Ham,away,4,MissedShots,0.02762310765683651,0.7380000305175781,0.6370000076293946,LeftFoot,OpenPlay,BallRecovery,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532017,22277,Jarrod Bowen,1776,West Ham,away,16,BlockedShot,0.15818184614181519,0.865,0.41900001525878905,LeftFoot,OpenPlay,TakeOn,Said Benrahma,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532018,22277,Tomas Soucek,8288,West Ham,away,18,MissedShots,0.5839354395866394,0.9719999694824218,0.4909999847412109,Head,FromCorner,Aerial,Jarrod Bowen,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532019,22277,Tomas Soucek,8288,West Ham,away,23,MissedShots,0.013436351902782917,0.955999984741211,0.38,Head,FromCorner,Aerial,Jarrod Bowen,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532021,22277,Pablo Fornals,2335,West Ham,away,28,MissedShots,0.020084649324417114,0.765,0.585,LeftFoot,OpenPlay,Pass,Said Benrahma,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532022,22277,Lucas Paquetá,7365,West Ham,away,34,BlockedShot,0.04525599628686905,0.9590000152587891,0.42200000762939455,Head,FromCorner,Aerial,Jarrod Bowen,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532023,22277,Said Benrahma,3585,West Ham,away,34,MissedShots,0.019933605566620827,0.735,0.655,RightFoot,OpenPlay,Pass,Lucas Paquetá,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532024,22277,Jarrod Bowen,1776,West Ham,away,36,MissedShots,0.04263020679354668,0.875999984741211,0.49700000762939456,OtherBodyPart,OpenPlay,Cross,Vladimir Coufal,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532025,22277,Said Benrahma,3585,West Ham,away,36,SavedShot,0.13321448862552643,0.9180000305175782,0.5720000076293945,LeftFoot,OpenPlay,Pass,Pablo Fornals,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532028,22277,Jarrod Bowen,1776,West Ham,away,50,Goal,0.03021552599966526,0.7709999847412109,0.445,LeftFoot,OpenPlay,Pass,Tomas Soucek,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532030,22277,Lucas Paquetá,7365,West Ham,away,55,MissedShots,0.043874774128198624,0.86,0.6020000076293945,LeftFoot,OpenPlay,Chipped,Emerson,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532031,22277,Jarrod Bowen,1776,West Ham,away,55,BlockedShot,0.048392847180366516,0.8909999847412109,0.5309999847412109,Head,OpenPlay,Aerial,Emerson,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532034,22277,Jarrod Bowen,1776,West Ham,away,69,BlockedShot,0.08082238584756851,0.9390000152587891,0.3220000076293945,LeftFoot,OpenPlay,Pass,Vladimir Coufal,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532041,22277,Danny Ings,986,West Ham,away,83,BlockedShot,0.12314949184656143,0.88,0.355,RightFoot,OpenPlay,Throughball,Lucas Paquetá,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532042,22277,Lucas Paquetá,7365,West Ham,away,84,ShotOnPost,0.06345885992050171,0.865,0.64,LeftFoot,OpenPlay,BallTouch,,2023-08-12,Bournemouth,West Ham,Bournemouth v West Ham,2023
532044,22278,Lewis Dunk,6048,Brighton,home,1,MissedShots,0.030197013169527054,0.8769999694824219,0.509000015258789,Head,FromCorner,Cross,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532045,22278,Lewis Dunk,6048,Brighton,home,2,MissedShots,0.08002118766307831,0.9280000305175782,0.43200000762939456,Head,FromCorner,Cross,Mahmoud Dahoud,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532046,22278,João Pedro,8272,Brighton,home,4,MissedShots,0.4237302839756012,0.8930000305175781,0.4909999847412109,RightFoot,OpenPlay,Pass,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532047,22278,Danny Welbeck,501,Brighton,home,7,MissedShots,0.012145270593464375,0.725,0.6880000305175781,RightFoot,OpenPlay,Pass,João Pedro,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532048,22278,Pascal Groß,239,Brighton,home,13,MissedShots,0.11489401012659073,0.9130000305175782,0.45299999237060545,Head,OpenPlay,Cross,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532049,22278,Solly March,6049,Brighton,home,17,BlockedShot,0.013333537615835667,0.7019999694824218,0.385,LeftFoot,SetPiece,Pass,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532050,22278,Estupiñán,5136,Brighton,home,17,BlockedShot,0.04104902967810631,0.8569999694824219,0.675,LeftFoot,SetPiece,Pass,Kaoru Mitoma,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532051,22278,Danny Welbeck,501,Brighton,home,19,SavedShot,0.04096674174070358,0.914000015258789,0.285,RightFoot,OpenPlay,Pass,Solly March,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532053,22278,Mahmoud Dahoud,205,Brighton,home,25,MissedShots,0.02095428667962551,0.7680000305175781,0.639000015258789,RightFoot,OpenPlay,Pass,Kaoru Mitoma,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532055,22278,Kaoru Mitoma,10806,Brighton,home,32,MissedShots,0.01998881623148918,0.8480000305175781,0.7319999694824219,RightFoot,OpenPlay,Chipped,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532057,22278,Solly March,6049,Brighton,home,35,Goal,0.45607027411460876,0.9390000152587891,0.47,Head,OpenPlay,Cross,Kaoru Mitoma,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532060,22278,Danny Welbeck,501,Brighton,home,38,ShotOnPost,0.11525235325098038,0.8630000305175781,0.505,RightFoot,OpenPlay,Pass,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532061,22278,Estupiñán,5136,Brighton,home,39,SavedShot,0.022851424291729927,0.740999984741211,0.6459999847412109,LeftFoot,OpenPlay,Pass,Mahmoud Dahoud,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532062,22278,Danny Welbeck,501,Brighton,home,41,BlockedShot,0.12404989451169968,0.8830000305175781,0.5070000076293946,RightFoot,OpenPlay,Pass,Kaoru Mitoma,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532063,22278,Mahmoud Dahoud,205,Brighton,home,41,BlockedShot,0.0221095010638237,0.749000015258789,0.4779999923706055,RightFoot,OpenPlay,Rebound,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532065,22278,Jan Paul van Hecke,10807,Brighton,home,46,SavedShot,0.025739125907421112,0.855999984741211,0.52,Head,FromCorner,Cross,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532066,22278,João Pedro,8272,Brighton,home,47,BlockedShot,0.10012907534837723,0.855999984741211,0.6,RightFoot,OpenPlay,Pass,Kaoru Mitoma,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532067,22278,Pascal Groß,239,Brighton,home,51,ShotOnPost,0.017942124977707863,0.8719999694824219,0.8009999847412109,RightFoot,SetPiece,Pass,Solly March,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532068,22278,Solly March,6049,Brighton,home,62,SavedShot,0.12647263705730438,0.919000015258789,0.5970000076293945,LeftFoot,OpenPlay,Pass,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532069,22278,João Pedro,8272,Brighton,home,70,Goal,0.7611688375473022,0.885,0.5,RightFoot,Penalty,Standard,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532071,22278,Billy Gilmour,7988,Brighton,home,83,SavedShot,0.027275795117020607,0.7780000305175782,0.3160000038146973,RightFoot,OpenPlay,None,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532072,22278,Estupiñán,5136,Brighton,home,84,SavedShot,0.06968338042497635,0.9130000305175782,0.6769999694824219,LeftFoot,OpenPlay,TakeOn,Evan Ferguson,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532073,22278,Simon Adingra,11710,Brighton,home,84,Goal,0.49286147952079773,0.955999984741211,0.41900001525878905,RightFoot,OpenPlay,BallRecovery,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532074,22278,Evan Ferguson,10177,Brighton,home,85,ShotOnPost,0.08076441287994385,0.8530000305175781,0.63,RightFoot,OpenPlay,Pass,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532075,22278,João Pedro,8272,Brighton,home,86,SavedShot,0.14037765562534332,0.925,0.5879999923706055,LeftFoot,OpenPlay,Pass,Pascal Groß,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532076,22278,Pascal Groß,239,Brighton,home,88,SavedShot,0.26246532797813416,0.955999984741211,0.5679999923706055,RightFoot,OpenPlay,TakeOn,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532079,22278,Evan Ferguson,10177,Brighton,home,94,Goal,0.7277309894561768,0.9669999694824218,0.4620000076293945,RightFoot,OpenPlay,Pass,Estupiñán,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532052,22278,Pelly Ruddock Mpanzu,11716,Luton,away,22,MissedShots,0.836603045463562,0.9590000152587891,0.5479999923706055,Head,OpenPlay,Aerial,Issa Kabore,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532054,22278,Pelly Ruddock Mpanzu,11716,Luton,away,28,BlockedShot,0.06660162657499313,0.8580000305175781,0.7080000305175781,LeftFoot,OpenPlay,Pass,Elijah Adebayo,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532056,22278,Marvelous Nakamba,8040,Luton,away,33,BlockedShot,0.013922066427767277,0.7330000305175781,0.40900001525878904,LeftFoot,OpenPlay,None,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532058,22278,Carlton Morris,11717,Luton,away,36,SavedShot,0.050992317497730255,0.92,0.585,Head,FromCorner,Cross,Ryan John Giles,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532059,22278,Issa Kabore,9619,Luton,away,37,MissedShots,0.01918305829167366,0.7469999694824219,0.4209999847412109,LeftFoot,FromCorner,Pass,Marvelous Nakamba,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532064,22278,Carlton Morris,11717,Luton,away,45,MissedShots,0.04231686517596245,0.9259999847412109,0.549000015258789,Head,OpenPlay,Aerial,Ryan John Giles,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532070,22278,Carlton Morris,11717,Luton,away,80,Goal,0.7611688375473022,0.885,0.5,RightFoot,Penalty,Standard,,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532077,22278,Jacob Brown,11720,Luton,away,91,SavedShot,0.044230684638023376,0.8640000152587891,0.5179999923706055,RightFoot,OpenPlay,HeadPass,Cauley Woodrow,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532078,22278,Carlton Morris,11717,Luton,away,92,MissedShots,0.05091724917292595,0.9230000305175782,0.4909999847412109,Head,FromCorner,Aerial,Cauley Woodrow,2023-08-12,Brighton,Luton,Brighton v Luton,2023
532080,22279,Neal Maupay,3621,Everton,home,0,MissedShots,0.07180008292198181,0.8640000152587891,0.27,RightFoot,OpenPlay,BallRecovery,Abdoulaye Doucouré,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532082,22279,Abdoulaye Doucouré,1726,Everton,home,4,SavedShot,0.457674115896225,0.88,0.4929999923706055,RightFoot,OpenPlay,Pass,Amadou Onana,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532083,22279,Alex Iwobi,500,Everton,home,17,BlockedShot,0.07272406667470932,0.8519999694824218,0.649000015258789,RightFoot,OpenPlay,Pass,Amadou Onana,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532084,22279,Idrissa Gueye,668,Everton,home,18,BlockedShot,0.02941899560391903,0.8,0.6270000076293946,RightFoot,FromCorner,Cross,James Garner,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532085,22279,Alex Iwobi,500,Everton,home,20,MissedShots,0.13353370130062103,0.8109999847412109,0.5690000152587891,RightFoot,OpenPlay,TakeOn,Neal Maupay,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532086,22279,Neal Maupay,3621,Everton,home,33,SavedShot,0.5802212953567505,0.9619999694824218,0.495,LeftFoot,OpenPlay,BallTouch,Abdoulaye Doucouré,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532087,22279,Amadou Onana,9667,Everton,home,40,SavedShot,0.026149267330765724,0.850999984741211,0.3,RightFoot,OpenPlay,Chipped,Alex Iwobi,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532088,22279,Neal Maupay,3621,Everton,home,41,SavedShot,0.3632145822048187,0.875,0.5270000076293946,RightFoot,OpenPlay,Throughball,Amadou Onana,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532089,22279,Nathan Patterson,10292,Everton,home,42,MissedShots,0.04702720418572426,0.8630000305175781,0.3129999923706055,LeftFoot,OpenPlay,Pass,Idrissa Gueye,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532090,22279,Neal Maupay,3621,Everton,home,44,SavedShot,0.1220758855342865,0.8430000305175781,0.4759999847412109,RightFoot,OpenPlay,Pass,Abdoulaye Doucouré,2023-08-12,Everton,Fulham,Everton v Fulham,2023
532094,22279,Nathan Patterson,10292,Everton,home,59,BlockedShot,0.012792707420885563,0.7030000305175781,0.42200000762939455,RightFoot,FromCorner,None,,2023-08-12,Everton,Fulham,Everton v Fulham,2023
