league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2122,Aston Villa,Jacob Ramsey,1,2021,71,8941,F M S,34,2493,6,3.8228819873183966,6,3.8228819873183966,1,2.036960480734706,34,21,6,0,11.246643111109734,6.333872018381953
ENG-Premier League,2122,Aston Villa,Jaden Philogene-Bidace,1,2021,71,9415,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Jed Steer,1,2021,71,4475,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.01069989986717701,0.01069989986717701
ENG-Premier League,2122,Aston Villa,John McGinn,1,2021,71,7723,M,35,3099,3,1.8280723309144378,3,1.8280723309144378,4,5.359244130551815,43,53,8,0,12.840360780246556,8.202694385312498
ENG-Premier League,2122,Aston Villa,Keinan Davis,1,2021,71,1053,S,1,10,0,0.0,0,0.0,0,0.0,0,0,0,0,0.02824229933321476,0.02824229933321476
ENG-Premier League,2122,Aston Villa,Kortney Hause,1,2021,71,6859,D S,7,393,1,0.06403259932994843,1,0.06403259932994843,0,0.0,2,0,0,0,1.8135129772126675,1.8135129772126675
ENG-Premier League,2122,Aston Villa,Leon Bailey,1,2021,71,5221,F M S,18,723,1,1.4925615042448044,1,1.4925615042448044,2,0.6773803047835827,21,7,3,0,2.510905209928751,0.6678759902715683
ENG-Premier League,2122,Aston Villa,Lucas Digne,1,2021,71,1823,D,29,2446,0,0.8612118046730757,0,0.8612118046730757,4,3.5197858130559325,18,52,6,0,7.2710800766944885,5.305216922424734
ENG-Premier League,2122,Aston Villa,Marvelous Nakamba,1,2021,71,8040,M S,16,905,0,0.0,0,0.0,0,0.045388299971818924,0,2,5,0,1.7517936192452908,1.7517936192452908
ENG-Premier League,2122,Aston Villa,Matt Targett,1,2021,71,884,D M,33,2880,1,1.0151007901877165,1,1.0151007901877165,1,3.8638001391664147,13,41,3,0,7.151029429398477,3.894083708524704
ENG-Premier League,2122,Aston Villa,Matthew Cash,1,2021,71,8864,D M,38,3386,4,2.4832568001002073,4,2.4832568001002073,3,2.902315404266119,37,28,8,0,11.00867085158825,7.563903264701366
ENG-Premier League,2122,Aston Villa,Morgan Sanson,1,2021,71,3696,M S,10,349,0,0.011810599826276302,0,0.011810599826276302,0,0.028206299990415573,1,1,0,0,0.8443006118759513,0.832490012049675
ENG-Premier League,2122,Aston Villa,Ollie Watkins,1,2021,71,8865,F S,35,2970,11,11.498160604387522,10,10.736988637596369,2,2.997610133141279,77,35,7,0,17.148511039093137,5.538892895914614
ENG-Premier League,2122,Aston Villa,Philippe Coutinho,1,2021,71,488,F M S,19,1364,5,3.366971990093589,5,3.366971990093589,3,2.9328471841290593,43,25,0,0,8.868810299783945,4.497148868627846
ENG-Premier League,2122,Aston Villa,Robin Olsen,1,2021,71,6962,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.07991970330476761,0.07991970330476761
ENG-Premier League,2122,Aston Villa,Tim Iroegbunam,1,2021,71,9554,M S,3,91,0,0.10066100209951401,0,0.10066100209951401,0,0.0,1,0,1,0,0.10236839950084686,0.10236839950084686
ENG-Premier League,2122,Aston Villa,Trézéguet,1,2021,71,7722,S,1,8,0,0.050483498722314835,0,0.050483498722314835,0,0.0,1,0,0,0,0.46437200903892517,0.41388899087905884
ENG-Premier League,2122,Aston Villa,Tyrone Mings,1,2021,71,1024,D S,36,3186,1,1.375620087608695,1,1.375620087608695,3,1.428650375455618,21,10,11,0,8.234112842008471,7.534688280895352
ENG-Premier League,2122,Aston Villa,Wesley,1,2021,71,7724,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Brentford,Bryan Mbeumo,1,2021,244,6552,F M S,35,2934,4,9.805259482935071,3,9.044090459123254,7,3.957220805808902,77,34,4,0,17.78692425787449,6.478674702346325
ENG-Premier League,2122,Brentford,Charlie Goode,1,2021,244,9687,D S,6,446,0,0.08599329739809036,0,0.08599329739809036,0,1.0358272045850754,2,7,3,0,1.197367712855339,0.8813184946775436
ENG-Premier League,2122,Brentford,Christian Eriksen,1,2021,244,646,M S,11,935,1,1.4037851188331842,1,1.4037851188331842,4,3.7309530712664127,22,30,1,0,4.987491987645626,2.9094995334744453
ENG-Premier League,2122,Brentford,Christian Nørgaard,1,2021,244,7083,M,35,3068,3,4.969032805413008,3,4.969032805413008,4,4.0477693835273385,27,29,8,0,13.346250873059034,7.89542396273464
ENG-Premier League,2122,Brentford,David Raya,1,2021,244,9676,GK,24,2160,0,0.0,0,0.0,0,0.0409960001707077,0,1,1,0,4.120813246816397,4.120813246816397
ENG-Premier League,2122,Brentford,Dominic Thompson,1,2021,244,9915,D,2,154,0,0.025226600468158722,0,0.025226600468158722,0,0.0,1,0,0,0,0.05206830054521561,0.026841599494218826
ENG-Premier League,2122,Brentford,Ethan Pinnock,1,2021,244,9678,D,32,2701,1,1.7465080497786403,1,1.7465080497786403,1,1.7245045565068722,16,12,1,0,6.184837121516466,4.275091532617807
ENG-Premier League,2122,Brentford,Finley Stevens,1,2021,244,9916,S,1,11,0,0.0,0,0.0,0,0.028888199478387833,0,1,0,0,0.0,0.0
ENG-Premier League,2122,Brentford,Frank Onyeka,1,2021,244,9681,M S,20,1056,0,0.7653771908953786,0,0.7653771908953786,0,0.16351560223847628,16,4,4,0,1.5919902855530381,0.9403915964066982
ENG-Premier League,2122,Brentford,Ivan Toney,1,2021,244,998,F S,33,2905,12,12.048585828393698,7,8.242776174098253,5,7.343530809506774,88,43,8,0,12.169118613004684,2.3933666069060564
ENG-Premier League,2122,Brentford,Jonas Lössl,1,2021,244,3468,GK,2,180,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Brentford,Josh Dasilva,1,2021,244,10405,F M S,9,242,0,0.10198599845170975,0,0.10198599845170975,0,0.18233780562877655,1,3,0,1,0.4496143078431487,0.16529020201414824
ENG-Premier League,2122,Brentford,Kristoffer Ajer,1,2021,244,9677,D S,24,2012,1,1.0655757747590542,1,1.0655757747590542,3,2.2111876308918,7,8,5,0,5.553348563611507,3.8359059505164623
ENG-Premier League,2122,Brentford,Mads Bech Sørensen,1,2021,244,9683,D S,11,841,0,0.07186190038919449,0,0.07186190038919449,0,0.34183360263705254,2,7,3,0,1.5663126846775413,1.2244802778586745
ENG-Premier League,2122,Brentford,Mads Bidstrup,1,2021,244,9682,S,4,26,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Brentford,Mads Roerslev,1,2021,244,9685,D S,21,1240,1,0.2831443063914776,1,0.2831443063914776,1,0.9667048780247569,5,7,1,0,1.3581679975613952,0.4798683002591133
ENG-Premier League,2122,Brentford,Marcus Forss,1,2021,244,9684,F S,7,183,0,0.2957523949444294,0,0.2957523949444294,1,0.42056599259376526,5,1,0,0,0.158866997808218,0.0
ENG-Premier League,2122,Brentford,Mathias Jensen,1,2021,244,7166,M S,31,1598,0,2.7016564928926528,0,2.7016564928926528,1,3.1610329784452915,19,35,0,0,7.237036062870175,2.972486024722457
ENG-Premier League,2122,Brentford,Nathan Young-Coombes,1,2021,244,10150,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Brentford,Pontus Jansson,1,2021,244,1801,D,37,3325,3,4.593423327431083,3,4.593423327431083,1,0.5605823006480932,22,5,7,0,5.387516871094704,3.885910749435425
ENG-Premier League,2122,Brentford,Rico Henry,1,2021,244,9679,D M S,34,2796,3,1.899935700930655,3,1.899935700930655,0,1.872443387284875,14,18,2,0,9.128159390762448,6.301865139976144
ENG-Premier League,2122,Brentford,Saman Ghoddos,1,2021,244,7069,D F M S,17,499,1,0.7120704911649227,1,0.7120704911649227,1,1.1907186191529036,8,6,2,0,3.1678579915314913,1.429826844483614
ENG-Premier League,2122,Brentford,Sergi Canos,1,2021,244,1078,D F M S,31,2128,3,3.4899188801646233,3,3.4899188801646233,2,2.1664950996637344,33,17,6,1,6.9550468772649765,2.181806704029441
ENG-Premier League,2122,Brentford,Shandon Baptiste,1,2021,244,9914,M S,22,909,1,0.5783805977553129,1,0.5783805977553129,0,0.5454354956746101,12,9,0,1,2.3360376888886094,1.4911788003519177
ENG-Premier League,2122,Brentford,Tariqe Fosu-Henry,1,2021,244,10092,S,1,15,0,0.05358149856328964,0,0.05358149856328964,0,0.0,1,0,0,0,0.05358149856328964,0.0
ENG-Premier League,2122,Brentford,Vitaly Janelt,1,2021,244,9680,D M S,31,2328,4,2.989832724444568,4,2.989832724444568,0,1.8168051782995462,30,23,3,0,7.372113709338009,3.241404203698039
ENG-Premier League,2122,Brentford,Yoane Wissa,1,2021,244,5786,F M S,30,1230,7,3.4018343733623624,7,3.4018343733623624,1,0.6705948002636433,32,9,0,0,4.416324868798256,1.8253055810928345
ENG-Premier League,2122,Brentford,Zanka,1,2021,244,6030,D S,8,514,1,0.14217300713062286,1,0.14217300713062286,0,0.07679279893636703,2,2,2,0,1.8502167314291,1.8271526284515858
ENG-Premier League,2122,Brentford,Álvaro Fernández,1,2021,244,5191,GK,12,1080,0,0.0,0,0.0,0,0.0,0,0,0,0,0.34285609796643257,0.34285609796643257
ENG-Premier League,2122,Brighton,Aaron Connolly,1,2021,220,7991,F S,4,152,0,0.5994888693094254,0,0.5994888693094254,0,0.3804109990596771,2,1,0,0,1.0079350173473358,0.028034599497914314
ENG-Premier League,2122,Brighton,Adam Lallana,1,2021,220,486,F M S,24,1568,0,0.8801135998219252,0,0.8801135998219252,1,0.9317835252732038,19,8,4,0,5.6879255417734385,5.048138685524464
ENG-Premier League,2122,Brighton,Adam Webster,1,2021,220,7699,D S,22,1419,2,1.486678946763277,2,1.486678946763277,0,0.03690589964389801,8,1,5,0,3.169359415769577,3.152342416346073
ENG-Premier League,2122,Brighton,Alexis Mac Allister,1,2021,220,8379,F M S,33,2102,5,6.832574421539903,3,4.549069428816438,2,2.1256866911426187,60,31,4,0,10.862735169008374,6.358379386365414
ENG-Premier League,2122,Brighton,Dan Burn,1,2021,220,7382,D S,29,2465,1,1.6115349950268865,1,1.6115349950268865,1,1.4531613001599908,18,6,8,0,2.969873985275626,2.9460841845721006
ENG-Premier League,2122,Brighton,Danny Welbeck,1,2021,220,501,F M S,25,1464,6,8.285231601446867,6,8.285231601446867,1,0.8949581095948815,43,17,0,0,11.309016615152359,2.8017294164747
ENG-Premier League,2122,Brighton,Enock Mwepu,1,2021,220,9734,F M S,18,1009,2,1.999322835355997,2,1.999322835355997,4,1.5841594748198986,19,9,2,0,3.612422186881304,2.079986520111561
ENG-Premier League,2122,Brighton,Evan Ferguson,1,2021,220,10177,S,1,20,0,0.0,0,0.0,0,0.0,0,0,0,0,0.021618900820612907,0.021618900820612907
ENG-Premier League,2122,Brighton,Jakub Moder,1,2021,220,9284,D F M S,28,1709,0,3.1035482864826918,0,3.1035482864826918,3,2.5826615393161774,28,16,1,0,7.955996491014957,3.4272286519408226
ENG-Premier League,2122,Brighton,Jason Steele,1,2021,220,7235,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2122,Brighton,Jeremy Sarmiento,1,2021,220,10036,M S,5,35,0,0.0,0,0.0,0,0.0,0,0,0,0,0.056968700140714645,0.056968700140714645
ENG-Premier League,2122,Brighton,Joël Veltman,1,2021,220,8780,D M S,34,2895,1,0.7149845939129591,1,0.7149845939129591,1,1.5885620079934597,12,17,6,0,7.89517766982317,6.9201454389840364
ENG-Premier League,2122,Brighton,Jürgen Locadia,1,2021,220,6542,S,1,20,0,0.05609799921512604,0,0.05609799921512604,0,0.0,1,0,0,0,0.05609799921512604,0.0
ENG-Premier League,2122,Brighton,Leandro Trossard,1,2021,220,7698,D F M S,34,2830,8,7.961571488529444,7,7.20040250197053,3,5.277916149236262,73,47,2,0,16.139060961082578,5.856930652633309
ENG-Premier League,2122,Brighton,Lewis Dunk,1,2021,220,6048,D,29,2574,1,1.4920963048934937,1,1.4920963048934937,0,0.40558080095797777,19,3,3,1,6.847901510074735,6.832657502964139
ENG-Premier League,2122,Brighton,Marc Cucurella,1,2021,220,7134,D M,35,3102,1,0.7293017916381359,1,0.7293017916381359,1,2.871598906815052,18,42,6,0,11.111791513860226,9.069734355434775
ENG-Premier League,2122,Brighton,Moisés Caicedo,1,2021,220,9453,M,8,673,1,0.6393528822809458,1,0.6393528822809458,1,0.2321203015744686,10,4,2,0,3.086230354383588,2.363927122205496
ENG-Premier League,2122,Brighton,Neal Maupay,1,2021,220,3621,F S,32,2271,8,8.242076613008976,7,6.719737626612186,2,2.442604837939143,61,23,7,0,13.330586224794388,5.462072102352977
