League,season_id,Team,Player,Season,position,Matches,Minutes,Goals,xG,Non-Penalty Goals,Non-Penalty xG,Assists,xA,Shots,Key Passes,Yellow Cards,Red Cards,xg_chain,xg_buildup
Premier League,2324,Arsenal,Kai Havertz,2023,F M S,37,2651,13,13.465729914605618,12,12.704561084508896,7,5.814370539039373,69,45,11,0,24.790123470127583,9.346141943708062
Premier League,2324,Arsenal,Leandro Trossard,2023,F M S,34,1649,12,9.575767548754811,12,9.575767548754811,1,3.252073733136058,60,24,2,0,16.976479506120086,5.5028668232262135
Premier League,2324,Arsenal,Martin Odegaard,2023,M,35,3117,8,7.670226177200675,6,6.147925289347768,10,11.577396512031555,77,102,2,0,29.81505699455738,18.138023640960455
Premier League,2324,Arsenal,Mohamed Elneny,2023,S,3,18,0,0.0575435645878315,0,0.0575435645878315,0,0.0,2,0,0,0,0.154712975025177,0.0971694067120552
Premier League,2324,Arsenal,Oleksandr Zinchenko,2023,D S,27,1742,1,0.5664580916054547,1,0.5664580916054547,2,3.02644526027143,17,29,2,0,9.755152989178896,8.132995340973139
Premier League,2324,Arsenal,Reiss Nelson,2023,F S,15,215,0,0.23842556215822697,0,0.23842556215822697,0,0.6414464898407459,4,5,1,0,3.198990484699607,2.478929640725255
Premier League,2324,Arsenal,Takehiro Tomiyasu,2023,D S,22,1106,2,1.6189159248024225,2,1.6189159248024225,1,0.5923872366547585,17,6,0,1,3.8184002935886383,3.4134652838110924
Premier League,2324,Arsenal,Thomas Partey,2023,D M S,14,793,0,0.36420316621661186,0,0.36420316621661186,0,0.4302750788629055,8,6,3,0,5.986752610653639,5.494942259043455
Premier League,2324,Arsenal,William Saliba,2023,D,38,3420,2,2.367191250436008,2,2.367191250436008,1,0.24890925362706184,10,6,4,0,16.631769336760044,16.434827260673046
Premier League,2324,Aston Villa,Bertrand Traoré,2023,S,2,7,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2324,Aston Villa,Boubacar Kamara,2023,M,20,1686,0,0.14352729450911283,0,0.14352729450911283,1,1.0960499802604318,5,20,7,1,9.230381686240435,8.439194424077868
Premier League,2324,Aston Villa,Calum Chambers,2023,M S,5,137,0,0.0,0,0.0,1,0.05676691234111786,0,1,1,0,0.6117476709187031,0.6117476709187031
Premier League,2324,Aston Villa,Cameron Archer,2023,F M S,30,1870,4,5.785084556788206,4,5.785084556788206,1,2.983854740858078,41,24,2,0,9.17532782163471,1.594775709323585
Premier League,2324,Aston Villa,Clement Lenglet,2023,D,14,1167,0,0.9835287630558014,0,0.9835287630558014,1,0.8562045320868492,7,2,3,0,7.290762335062027,7.290762335062027
Premier League,2324,Aston Villa,Diego Carlos,2023,D S,27,1784,0,1.8101312145590782,0,1.8101312145590782,0,0.1100177364423871,9,4,4,0,5.879810709506273,5.67356039211154
Premier League,2324,Aston Villa,Douglas Luiz,2023,M,35,3043,9,7.572099968791008,5,4.527424611151218,5,5.288189608603716,48,53,12,0,17.31126916781068,13.624405791983008
Premier League,2324,Aston Villa,Emiliano Martinez,2023,GK,34,3022,0,0.0,0,0.0,0,0.018454523757100105,0,1,4,0,9.158851562067866,9.140397010371089
Premier League,2324,Aston Villa,Ezri Konsa Ngoyo,2023,D,35,3090,1,2.3284507524222136,1,2.3284507524222136,0,0.6873185783624649,19,8,5,0,14.659921541810036,13.562622778117657
Premier League,2324,Aston Villa,Finley Munroe,2023,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
