join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened
2025-09-13_Arsenal,28808,2025-09-13,Arsenal,Nottingham Forest,3,0,2.8817,0.293681,2025,Arsenal v Nottingham Forest,Arsenal
2025-09-13_Newcastle,28809,2025-09-13,Newcastle United,Wolverhampton Wanderers,1,0,1.19186,0.375942,2025,Newcastle United v Wolverhampton Wanderers,Newcastle
2025-09-13_Bournemouth,28810,2025-09-13,Bournemouth,Brighton,2,1,1.44187,0.624923,2025,Bournemouth v Brighton,Bournemouth
2025-09-13_Crystal,28811,2025-09-13,Crystal Palace,Sunderland,0,0,1.75805,0.354129,2025,Crystal Palace v Sunderland,Crystal
2025-09-13_Everton,28812,2025-09-13,Everton,Aston Villa,0,0,1.8927,0.354327,2025,Everton v Aston Villa,Everton
2025-09-13_Fulham,28813,2025-09-13,Fulham,Leeds,1,0,1.13979,0.830398,2025,Fulham v Leeds,Fulham
2025-09-13_West,28814,2025-09-13,West Ham,Tottenham,0,3,0.793248,1.51402,2025,West Ham v Tottenham,West
2025-09-13_Brentford,28815,2025-09-13,Brentford,Chelsea,2,2,1.17533,0.755999,2025,Brentford v Chelsea,Brentford
2025-09-14_Burnley,28816,2025-09-14,Burnley,Liverpool,0,1,0.168041,2.79492,2025,Burnley v Liverpool,Burnley
2025-09-14_Manchester,28817,2025-09-14,Manchester City,Manchester United,3,0,1.99725,1.51915,2025,Manchester City v Manchester United,Manchester
2025-09-20_Liverpool,28818,2025-09-20,Liverpool,Everton,2,1,1.06166,0.721371,2025,Liverpool v Everton,Liverpool
2025-09-20_West,28819,2025-09-20,West Ham,Crystal Palace,1,2,0.466365,2.33565,2025,West Ham v Crystal Palace,West
2025-09-20_Wolverhampton,28820,2025-09-20,Wolverhampton Wanderers,Leeds,1,3,1.5661,0.456988,2025,Wolverhampton Wanderers v Leeds,Wolverhampton
2025-09-20_Brighton,28821,2025-09-20,Brighton,Tottenham,2,2,1.40466,1.19181,2025,Brighton v Tottenham,Brighton
2025-09-20_Burnley,28822,2025-09-20,Burnley,Nottingham Forest,1,1,1.14159,0.830779,2025,Burnley v Nottingham Forest,Burnley
2025-09-20_Manchester,28824,2025-09-20,Manchester United,Chelsea,2,1,1.34458,0.469843,2025,Manchester United v Chelsea,Manchester
2025-09-20_Fulham,28825,2025-09-20,Fulham,Brentford,3,1,1.52431,0.826556,2025,Fulham v Brentford,Fulham
2025-09-21_Bournemouth,28823,2025-09-21,Bournemouth,Newcastle United,0,0,0.55066,0.153629,2025,Bournemouth v Newcastle United,Bournemouth
2025-09-21_Sunderland,28826,2025-09-21,Sunderland,Aston Villa,1,1,0.938312,0.939354,2025,Sunderland v Aston Villa,Sunderland
2025-09-21_Arsenal,28827,2025-09-21,Arsenal,Manchester City,1,1,0.718575,1.1227,2025,Arsenal v Manchester City,Arsenal
2025-09-27_Brentford,28828,2025-09-27,Brentford,Manchester United,3,1,2.78726,2.23609,2025,Brentford v Manchester United,Brentford
2025-09-27_Chelsea,28829,2025-09-27,Chelsea,Brighton,1,3,2.02653,2.4751,2025,Chelsea v Brighton,Chelsea
2025-09-27_Crystal,28830,2025-09-27,Crystal Palace,Liverpool,2,1,3.53323,3.10176,2025,Crystal Palace v Liverpool,Crystal
2025-09-27_Leeds,28832,2025-09-27,Leeds,Bournemouth,2,2,2.04728,1.06033,2025,Leeds v Bournemouth,Leeds
2025-09-27_Manchester,28833,2025-09-27,Manchester City,Burnley,5,1,3.22133,0.509491,2025,Manchester City v Burnley,Manchester
2025-09-27_Nottingham,28834,2025-09-27,Nottingham Forest,Sunderland,0,1,1.4203,1.94154,2025,Nottingham Forest v Sunderland,Nottingham
2025-09-27_Tottenham,28835,2025-09-27,Tottenham,Wolverhampton Wanderers,1,1,0.818711,1.15951,2025,Tottenham v Wolverhampton Wanderers,Tottenham
2025-09-28_Aston,28831,2025-09-28,Aston Villa,Fulham,3,1,1.36575,0.952612,2025,Aston Villa v Fulham,Aston
2025-09-28_Newcastle,28836,2025-09-28,Newcastle United,Arsenal,1,2,0.739851,2.07048,2025,Newcastle United v Arsenal,Newcastle
2025-09-29_Everton,28837,2025-09-29,Everton,West Ham,1,1,0.909703,0.775766,2025,Everton v West Ham,Everton
2025-10-03_Bournemouth,28838,2025-10-03,Bournemouth,Fulham,3,1,1.33458,0.84335,2025,Bournemouth v Fulham,Bournemouth
2025-10-04_Leeds,28844,2025-10-04,Leeds,Tottenham,1,2,1.48051,0.688198,2025,Leeds v Tottenham,Leeds
2025-10-04_Arsenal,28839,2025-10-04,Arsenal,West Ham,2,0,3.0585,0.864549,2025,Arsenal v West Ham,Arsenal
2025-10-04_Manchester,28845,2025-10-04,Manchester United,Sunderland,2,0,1.9298,0.807119,2025,Manchester United v Sunderland,Manchester
2025-10-04_Chelsea,28842,2025-10-04,Chelsea,Liverpool,2,1,1.23721,2.05981,2025,Chelsea v Liverpool,Chelsea
2025-10-05_Aston,28840,2025-10-05,Aston Villa,Burnley,2,1,1.73572,0.502292,2025,Aston Villa v Burnley,Aston
2025-10-05_Everton,28843,2025-10-05,Everton,Crystal Palace,2,1,2.13876,2.17789,2025,Everton v Crystal Palace,Everton
2025-10-05_Newcastle,28846,2025-10-05,Newcastle United,Nottingham Forest,2,0,3.81662,0.337689,2025,Newcastle United v Nottingham Forest,Newcastle
2025-10-05_Wolverhampton,28847,2025-10-05,Wolverhampton Wanderers,Brighton,1,1,0.369404,1.39158,2025,Wolverhampton Wanderers v Brighton,Wolverhampton
2025-10-05_Brentford,28841,2025-10-05,Brentford,Manchester City,0,1,0.693758,1.09647,2025,Brentford v Manchester City,Brentford
2025-10-18_Nottingham,28854,2025-10-18,Nottingham Forest,Chelsea,0,3,2.0555,2.5583,2025,Nottingham Forest v Chelsea,Nottingham
2025-10-18_Brighton,28848,2025-10-18,Brighton,Newcastle United,2,1,0.857104,1.28313,2025,Brighton v Newcastle United,Brighton
2025-10-18_Burnley,28849,2025-10-18,Burnley,Leeds,2,0,0.509647,2.33152,2025,Burnley v Leeds,Burnley
2025-10-18_Crystal,28850,2025-10-18,Crystal Palace,Bournemouth,3,3,4.56284,2.0471,2025,Crystal Palace v Bournemouth,Crystal
2025-10-18_Manchester,28853,2025-10-18,Manchester City,Everton,2,0,2.4799,0.794622,2025,Manchester City v Everton,Manchester
2025-10-18_Sunderland,28855,2025-10-18,Sunderland,Wolverhampton Wanderers,2,0,1.02481,0.676323,2025,Sunderland v Wolverhampton Wanderers,Sunderland
2025-10-18_Fulham,28851,2025-10-18,Fulham,Arsenal,0,1,0.502332,2.07823,2025,Fulham v Arsenal,Fulham
2025-10-19_Tottenham,28856,2025-10-19,Tottenham,Aston Villa,1,2,1.51461,0.352231,2025,Tottenham v Aston Villa,Tottenham
2025-10-19_Liverpool,28852,2025-10-19,Liverpool,Manchester United,1,2,2.60972,2.53117,2025,Liverpool v Manchester United,Liverpool
2025-10-20_West,28857,2025-10-20,West Ham,Brentford,0,2,0.260251,3.46635,2025,West Ham v Brentford,West
2025-10-24_Leeds,28864,2025-10-24,Leeds,West Ham,2,1,2.2214,0.498653,2025,Leeds v West Ham,Leeds
2025-10-25_Chelsea,28862,2025-10-25,Chelsea,Sunderland,1,2,1.21332,1.5506,2025,Chelsea v Sunderland,Chelsea
2025-10-25_Newcastle,28866,2025-10-25,Newcastle United,Fulham,2,1,2.76806,1.52001,2025,Newcastle United v Fulham,Newcastle
2025-10-25_Manchester,28865,2025-10-25,Manchester United,Brighton,4,2,1.96231,0.947154,2025,Manchester United v Brighton,Manchester
2025-10-25_Brentford,28861,2025-10-25,Brentford,Liverpool,3,2,3.27126,2.11838,2025,Brentford v Liverpool,Brentford
2025-10-26_Bournemouth,28858,2025-10-26,Bournemouth,Nottingham Forest,2,0,0.656601,0.305493,2025,Bournemouth v Nottingham Forest,Bournemouth
2025-10-26_Arsenal,28859,2025-10-26,Arsenal,Crystal Palace,1,0,0.856175,0.350534,2025,Arsenal v Crystal Palace,Arsenal
2025-10-26_Aston,28860,2025-10-26,Aston Villa,Manchester City,1,0,0.843906,1.36914,2025,Aston Villa v Manchester City,Aston
2025-10-26_Wolverhampton,28867,2025-10-26,Wolverhampton Wanderers,Burnley,2,3,2.58132,1.54544,2025,Wolverhampton Wanderers v Burnley,Wolverhampton
2025-10-26_Everton,28863,2025-10-26,Everton,Tottenham,0,3,1.4032,2.09327,2025,Everton v Tottenham,Everton
