player_name,team,position,games,time,goals,assists,shots,key_passes,xG,xA,xG90,xA90,xGChain,xGBuildup,npg,npxG,season
Ben Chilwell,Chelsea,D S,23,1418,2,2,16,21,1.465110638178885,1.9936782559379935,0.0,0.0,4.494038670323789,3.5327052902430296,2,1.465110638178885,2022
Adama Traoré,Wolverhampton Wanderers,F M S,34,1452,2,1,19,23,1.420078607276082,3.1472194120287895,0.0,0.0,6.109330745413899,1.6365119582042098,2,1.420078607276082,2022
Kurt Zouma,West Ham,D S,25,1990,2,0,19,1,2.125173594802618,0.05687969923019409,0.0,0.0,2.5968139097094536,2.470027904957533,2,2.125173594802618,2022
Kalidou Koulibaly,Chelsea,D S,23,1809,2,1,11,7,1.0540769854560494,0.305135702714324,0.0,0.0,7.3524027690291405,7.254468761384487,2,1.0540769854560494,2022
Jorginho,"Arsenal,Chelsea",M S,32,2138,2,1,11,12,1.7956794500350952,0.5555977635085583,0.0,0.0,11.183870004490018,10.591356659308076,0,0.27334141731262207,2022
Trent Alexander-Arnold,Liverpool,D S,37,2954,2,9,40,71,1.8788890931755304,13.222441317513585,0.0,0.0,21.868592441082,16.189754247665405,2,1.8788890931755304,2022
João Cancelo,Manchester City,D M S,17,1289,2,1,17,12,0.5918373949825764,0.8360136020928621,0.0,0.0,8.179260186851025,7.247300129383802,2,0.5918373949825764,2022
Rodri,Manchester City,D M S,36,2938,2,6,50,32,4.119232214987278,4.539481725543737,0.0,0.0,26.801972568035126,23.071657463908195,2,4.119232214987278,2022
Adam Armstrong,Southampton,F M S,30,1333,2,1,25,11,2.4375014984980226,1.730416551232338,0.0,0.0,4.704243279993534,1.2918517235666513,2,2.4375014984980226,2022
Dominic Calvert-Lewin,Everton,F S,17,1197,2,1,31,9,6.498087804764509,1.2365073096007109,0.0,0.0,8.038987591862679,1.9899096544831991,1,5.736918967217207,2022
Daniel James,"Fulham,Leeds",F M S,24,790,2,1,16,8,2.1174327954649925,1.5898781195282936,0.0,0.0,4.573668692260981,1.5260148122906685,2,2.1174327954649925,2022
Harry Wilson,Fulham,M S,29,1087,2,3,18,12,1.8703890815377235,1.3884916454553604,0.0,0.0,5.573958999477327,2.747893917374313,2,1.8703890815377235,2022
Jean-Philippe Mateta,Crystal Palace,F S,29,717,2,0,28,5,3.3088645320385695,0.4064396023750305,0.0,0.0,4.657251037657261,1.3217991441488266,2,3.3088645320385695,2022
Timothy Castagne,Leicester,D S,37,3257,2,3,18,21,1.9257993642240763,3.172707935795188,0.0,0.0,11.603145258501172,8.605382116511464,2,1.9257993642240763,2022
Romain Perraud,Southampton,D M S,29,1842,2,2,29,15,1.2091420125216246,2.2668228521943092,0.0,0.0,4.521617898717523,2.6945367883890867,2,1.2091420125216246,2022
Yerry Mina,Everton,D,7,606,2,0,8,1,1.6610938757658005,0.08433612436056137,0.0,0.0,0.7217651586979628,0.1148442979902029,2,1.6610938757658005,2022
Dejan Kulusevski,Tottenham,F M S,30,2120,2,7,43,47,2.6102962754666805,5.4827206544578075,0.0,0.0,9.842267464846373,4.0003888993524015,2,2.6102962754666805,2022
Fred,Manchester United,M S,35,1207,2,2,26,30,2.2472731824964285,2.549862952902913,0.0,0.0,12.157874770462513,8.124852128326893,2,2.2472731824964285,2022
Tom Cairney,Fulham,M S,33,929,2,0,21,12,1.5491938758641481,1.6246961504220963,0.0,0.0,5.840297954156995,3.5059372931718826,2,1.5491938758641481,2022
Ryan Sessegnon,Tottenham,D S,17,810,2,0,18,6,2.117515377700329,1.040791004896164,0.0,0.0,4.331894390285015,2.0439960788935423,2,2.117515377700329,2022
William Saliba,Arsenal,D,27,2418,2,1,6,6,0.8184554874897003,1.120013577863574,0.0,0.0,9.701152380555868,9.49210711196065,2,0.8184554874897003,2022
Stuart Armstrong,Southampton,M S,32,1408,2,1,23,18,2.106476968154311,2.606352062895894,0.0,0.0,6.877064095810056,2.4147079661488533,2,2.106476968154311,2022
Naif Aguerd,West Ham,D S,18,1600,2,0,12,6,2.5115839689970016,0.6282200030982494,0.0,0.0,1.3947869138792157,1.2775431917980313,2,2.5115839689970016,2022
Matheus Cunha,Wolverhampton Wanderers,F S,17,978,2,0,26,8,1.591183171607554,0.8713507484644651,0.0,0.0,2.6735775023698807,0.6461011376231909,2,1.591183171607554,2022
Ben White,Arsenal,D S,38,3094,2,5,10,27,0.9820632422342896,4.293553752824664,0.0,0.0,18.13298106752336,15.288546109572053,2,0.9820632422342896,2022
Emerson,Tottenham,D S,26,1733,2,1,17,9,1.7453065998852253,0.48395898938179016,0.0,0.0,7.7816263027489185,5.672533370554447,2,1.7453065998852253,2022
Tomas Soucek,West Ham,M S,36,2839,2,3,34,15,3.82576912175864,1.9310189355164766,0.0,0.0,8.626211040653288,5.910706527531147,2,3.82576912175864,2022
