join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened
2022-04-10_Brentford,ENG-Premier League,2122,2022-04-10 Brentford-West Ham,1,2021,16693,2022-04-10,244,81,Brentford,West Ham,WHU,BRE,2,0,1.85534,0.244824,True,True,https://understat.com/match/16693,Brentford
2022-04-10_Leicester,ENG-Premier League,2122,2022-04-10 Leicester-Crystal Palace,1,2021,16691,2022-04-10,75,78,Leicester,Crystal Palace,CRY,LEI,2,1,0.879235,1.52767,True,True,https://understat.com/match/16691,Leicester
2022-04-10_Manchester,ENG-Premier League,2122,2022-04-10 Manchester City-Liverpool,1,2021,16690,2022-04-10,88,87,Manchester City,Liverpool,LIV,MCI,2,2,1.34647,1.29983,True,True,https://understat.com/match/16690,Manchester
2022-04-10_Norwich,ENG-Premier League,2122,2022-04-10 Norwich-Burnley,1,2021,16688,2022-04-10,79,92,Norwich,Burnley,BUR,NOR,2,0,1.6723,1.44652,True,True,https://understat.com/match/16688,Norwich
2022-04-16_Manchester,ENG-Premier League,2122,2022-04-16 Manchester United-Norwich,1,2021,16702,2022-04-16,89,79,Manchester United,Norwich,NOR,MUN,3,2,1.66737,1.79754,True,True,https://understat.com/match/16702,Manchester
2022-04-16_Southampton,ENG-Premier League,2122,2022-04-16 Southampton-Arsenal,1,2021,16700,2022-04-16,74,83,Southampton,Arsenal,ARS,SOU,1,0,1.04007,1.35002,True,True,https://understat.com/match/16700,Southampton
2022-04-16_Tottenham,ENG-Premier League,2122,2022-04-16 Tottenham-Brighton,1,2021,16699,2022-04-16,82,220,Tottenham,Brighton,BRI,TOT,0,1,0.58624,0.711155,True,True,https://understat.com/match/16699,Tottenham
2022-04-16_Watford,ENG-Premier League,2122,2022-04-16 Watford-Brentford,1,2021,16698,2022-04-16,90,244,Watford,Brentford,BRE,WAT,1,2,1.50381,2.12457,True,True,https://understat.com/match/16698,Watford
2022-04-17_Newcastle,ENG-Premier League,2122,2022-04-17 Newcastle United-Leicester,1,2021,16701,2022-04-17,86,75,Newcastle United,Leicester,LEI,NEW,2,1,2.54294,0.541084,True,True,https://understat.com/match/16701,Newcastle
2022-04-17_West,ENG-Premier League,2122,2022-04-17 West Ham-Burnley,1,2021,16697,2022-04-17,81,92,West Ham,Burnley,BUR,WHU,1,1,2.79175,1.88137,True,True,https://understat.com/match/16697,West
2022-04-19_Liverpool,ENG-Premier League,2122,2022-04-19 Liverpool-Manchester United,1,2021,16669,2022-04-19,87,89,Liverpool,Manchester United,MUN,LIV,4,0,2.25967,0.110227,True,True,https://understat.com/match/16669,Liverpool
2022-04-20_Chelsea,ENG-Premier League,2122,2022-04-20 Chelsea-Arsenal,1,2021,16618,2022-04-20,80,83,Chelsea,Arsenal,ARS,CHE,2,4,0.593801,1.87331,True,True,https://understat.com/match/16618,Chelsea
2022-04-20_Everton,ENG-Premier League,2122,2022-04-20 Everton-Leicester,1,2021,16547,2022-04-20,72,75,Everton,Leicester,LEI,EVE,1,1,1.68819,0.786333,True,True,https://understat.com/match/16547,Everton
2022-04-20_Manchester,ENG-Premier League,2122,2022-04-20 Manchester City-Brighton,1,2021,16670,2022-04-20,88,220,Manchester City,Brighton,BRI,MCI,3,0,1.52844,0.117354,True,True,https://understat.com/match/16670,Manchester
2022-04-20_Newcastle,ENG-Premier League,2122,2022-04-20 Newcastle United-Crystal Palace,1,2021,16671,2022-04-20,86,78,Newcastle United,Crystal Palace,CRY,NEW,1,0,0.767855,0.432788,True,True,https://understat.com/match/16671,Newcastle
2022-04-21_Burnley,ENG-Premier League,2122,2022-04-21 Burnley-Southampton,1,2021,16667,2022-04-21,92,74,Burnley,Southampton,SOU,BUR,2,0,2.14743,1.31837,True,True,https://understat.com/match/16667,Burnley
2022-04-23_Arsenal,ENG-Premier League,2122,2022-04-23 Arsenal-Manchester United,1,2021,16715,2022-04-23,83,89,Arsenal,Manchester United,MUN,ARS,3,1,2.54173,2.04244,True,True,https://understat.com/match/16715,Arsenal
2022-04-23_Brentford,ENG-Premier League,2122,2022-04-23 Brentford-Tottenham,1,2021,16714,2022-04-23,244,82,Brentford,Tottenham,TOT,BRE,0,0,1.3153,0.517755,True,True,https://understat.com/match/16714,Brentford
2022-04-23_Leicester,ENG-Premier League,2122,2022-04-23 Leicester-Aston Villa,1,2021,16709,2022-04-23,75,71,Leicester,Aston Villa,AVL,LEI,0,0,0.235635,0.593202,True,True,https://understat.com/match/16709,Leicester
2022-04-23_Manchester,ENG-Premier League,2122,2022-04-23 Manchester City-Watford,1,2021,16707,2022-04-23,88,90,Manchester City,Watford,WAT,MCI,5,1,3.68,0.42632,True,True,https://understat.com/match/16707,Manchester
2022-04-23_Norwich,ENG-Premier League,2122,2022-04-23 Norwich-Newcastle United,1,2021,16706,2022-04-23,79,86,Norwich,Newcastle United,NEW,NOR,0,3,0.657661,1.87558,True,True,https://understat.com/match/16706,Norwich
2022-04-24_Brighton,ENG-Premier League,2122,2022-04-24 Brighton-Southampton,1,2021,16713,2022-04-24,220,74,Brighton,Southampton,SOU,BRI,2,2,1.87343,0.926764,True,True,https://understat.com/match/16713,Brighton
