league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Craig Gardner,1,2016,462,76,812,ML,10,72,0,0,0,0.0,0.11258000135421753,0.0,0,0.37804898619651794,5,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Darren Fletcher,1,2016,462,76,809,MC,9,90,0,0,0,0.0,0.04855950176715851,0.04855950176715851,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Gareth McAuley,1,2016,462,76,806,DC,3,90,0,0,0,0.0,0.11258000135421753,0.11258000135421753,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,James McClean,1,2016,462,76,814,Sub,17,18,0,0,0,0.0,0.0,0.0,1,0.1024399995803833,1,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,James Morrison,1,2016,462,76,990,Sub,17,3,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Jonas Olsson,1,2016,462,76,805,DC,3,90,0,0,2,0.14079000055789948,0.11258000135421753,0.11258000135421753,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Jonny Evans,1,2016,462,76,807,DL,4,90,0,0,0,0.0,0.16113899648189545,0.16113899648189545,0,0.0,0,1,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Matt Phillips,1,2016,462,76,1737,MR,8,90,0,0,1,0.02165989950299263,0.02165989950299263,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Saido Berahino,1,2016,462,76,811,FW,15,87,0,0,2,0.06353460252285004,0.17611399292945862,0.11258000135421753,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Crystal Palace-West Bromwich Albion,West Bromwich Albion,Salomón Rondón,1,2016,462,76,813,FW,15,90,1,0,6,0.41591599583625793,0.2536979913711548,0.04855950176715851,0,0.08519449830055237,3,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Aaron Lennon,1,2016,463,72,593,Sub,17,13,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Arouna Koné,1,2016,463,72,601,Sub,17,21,0,0,0,0.0,0.022273199632763863,0.0,0,0.022273199632763863,1,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Gareth Barry,1,2016,463,72,590,MC,9,86,0,0,0,0.0,0.09464620053768158,0.03409560024738312,0,0.06055060029029846,2,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Gerard Deulofeu,1,2016,463,72,591,FW,15,69,0,0,3,0.4840080142021179,0.5220569968223572,0.0,0,0.03804880008101463,1,0,0
