league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1819,2019-05-12 Brighton-Manchester City,1,2018,9576,2019-05-12 14:00:00,220,88,Brighton,Manchester City,MCI,BRI,3,2.5035,4,2.22234,2.22234,1.627027,6.090909090909091,26,0,0.3339,1,0.595313,0.595313,-1.627027,28.846153846153847,0
ENG-Premier League,1819,2019-05-12 Burnley-Arsenal,1,2018,9575,2019-05-12 14:00:00,92,83,Burnley,Arsenal,ARS,BUR,3,2.1656,3,2.87276,2.87276,1.14337,16.636363636363637,15,0,0.6443000000000001,1,1.72939,1.72939,-1.14337,17.68421052631579,10
ENG-Premier League,1819,2019-05-12 Crystal Palace-Bournemouth,1,2018,9574,2019-05-12 14:00:00,78,73,Crystal Palace,Bournemouth,BOU,CRY,0,0.7546,3,1.8981,1.8981,-0.96089,9.652173913043478,9,3,2.0469999999999997,5,2.85899,2.85899,0.96089,13.55,12
ENG-Premier League,1819,2019-05-12 Fulham-Newcastle United,1,2018,9573,2019-05-12 14:00:00,228,86,Fulham,Newcastle United,NEW,FLH,3,2.4969,4,1.95921,1.95921,1.3893649999999997,28.529411764705884,7,0,0.3435,0,0.569845,0.569845,-1.3893649999999997,13.333333333333334,12
ENG-Premier League,1819,2019-05-12 Leicester-Chelsea,1,2018,9572,2019-05-12 14:00:00,75,80,Leicester,Chelsea,CHE,LEI,1,2.222,0,1.26735,1.26735,0.922044,16.36842105263158,11,1,0.5084,0,0.345306,0.345306,-0.922044,10.923076923076923,5
ENG-Premier League,1819,2019-05-12 Liverpool-Wolverhampton Wanderers,1,2018,9571,2019-05-12 14:00:00,87,229,Liverpool,Wolverhampton Wanderers,WOL,LIV,0,0.742,0,0.883861,0.883861,-0.818109,32.333333333333336,8,3,2.0131,2,1.70197,1.70197,0.818109,13.368421052631579,6
ENG-Premier League,1819,2019-05-12 Manchester United-Cardiff,1,2018,9570,2019-05-12 14:00:00,89,227,Manchester United,Cardiff,CAR,MUN,3,1.2677999999999998,2,1.71095,0.949785,-0.9457650000000001,23.666666666666668,2,0,1.4733,0,1.89555,1.89555,0.9457650000000001,3.6956521739130435,13
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield,1,2018,9569,2019-05-12 14:00:00,74,219,Southampton,Huddersfield,HUD,SOU,1,1.2379,1,0.857152,0.857152,-0.083866,11.833333333333334,1,1,1.411,1,0.941018,0.941018,0.083866,9.176470588235293,9
ENG-Premier League,1819,2019-05-12 Tottenham-Everton,1,2018,9568,2019-05-12 14:00:00,82,72,Tottenham,Everton,EVE,TOT,1,2.3487,2,2.06851,2.06851,1.185902,14.625,7,1,0.4425,2,0.882608,0.882608,-1.185902,14.61111111111111,5
ENG-Premier League,1819,2019-05-12 Watford-West Ham,1,2018,9567,2019-05-12 14:00:00,90,81,Watford,West Ham,WHU,WAT,3,2.1507,4,3.20094,2.43977,0.3699100000000004,10.347826086956522,6,0,0.6594,1,2.06986,2.06986,-0.3699100000000004,12.727272727272727,7
