,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Fulham,Tim Ream,USA,DF,35,1987,16.7,1206,160,585,600,30,7,1206,7,6,85.7,1,14.3,739,4157,2723,11,6,2,6,3,811,3
ENG-Premier League,2324,Fulham,Timothy Castagne,BEL,DF,27,1995,29.3,1937,116,697,831,418,58,1937,30,17,56.7,10,33.3,879,3780,1855,48,25,6,25,10,1121,113
ENG-Premier League,2324,Fulham,Tom Cairney,SCO,MF,32,1991,16.5,1398,27,243,761,422,31,1398,33,26,78.8,5,15.2,931,4502,2261,35,42,6,29,24,1128,72
ENG-Premier League,2324,Fulham,Tosin Adarabioyo,ENG,DF,25,1997,18.0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5
ENG-Premier League,2324,Fulham,Willian,BRA,FW,34,1988,22.8,1333,17,160,519,671,73,1331,63,29,46.0,25,39.7,902,5906,2943,92,71,28,35,26,1040,181
ENG-Premier League,2324,Liverpool,Alexis Mac Allister,ARG,MF,24,1998,28.9,2313,73,392,1382,560,32,2312,34,18,52.9,12,35.3,1346,5738,3006,44,45,4,30,35,1626,48
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28.0,1196,754,1145,52,0,0,1196,0,0,,0,,850,3713,2361,0,0,0,4,0,764,0
ENG-Premier League,2324,Liverpool,Andrew Robertson,SCO,DF,29,1994,18.8,1713,67,387,789,548,55,1713,17,5,29.4,12,70.6,979,4623,2638,63,40,6,18,6,1160,130
ENG-Premier League,2324,Liverpool,Ben Gannon-Doak,SCO,FW,17,2005,0.2,6,0,0,2,4,0,6,0,0,,0,,4,7,2,0,0,0,2,0,4,0
ENG-Premier League,2324,Liverpool,Bobby Clark,ENG,MF,18,2005,1.0,70,4,11,34,26,6,70,4,0,0.0,3,75.0,45,286,149,3,0,2,3,6,48,7
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,457,269,446,11,0,0,457,0,0,,0,,367,1742,1077,0,0,0,0,0,330,0
ENG-Premier League,2324,Liverpool,Cody Gakpo,NED,"FW,MF",24,1999,18.3,809,15,77,335,412,107,809,54,31,57.4,17,31.5,549,3003,1472,43,31,13,44,32,618,130
ENG-Premier League,2324,Liverpool,Conor Bradley,NIR,DF,20,2003,8.4,661,14,140,289,243,38,661,30,13,43.3,14,46.7,373,2144,1085,35,29,12,17,10,388,64
ENG-Premier League,2324,Liverpool,Curtis Jones,ENG,MF,22,2001,13.0,915,24,127,509,287,38,915,29,15,51.7,10,34.5,624,3297,1425,31,25,7,15,33,709,88
ENG-Premier League,2324,Liverpool,Darwin Núñez,URU,FW,24,1999,22.7,777,13,41,224,526,192,776,44,15,34.1,20,45.5,468,2694,1279,58,35,36,53,29,575,206
ENG-Premier League,2324,Liverpool,Diogo Jota,POR,FW,26,1996,12.7,594,8,53,240,311,107,594,41,15,36.6,21,51.2,350,2104,1239,54,29,23,42,18,427,111
ENG-Premier League,2324,Liverpool,Dominik Szoboszlai,HUN,MF,22,2000,23.4,1802,36,239,868,718,71,1802,56,24,42.9,27,48.2,1043,5475,2880,75,67,22,27,27,1238,160
ENG-Premier League,2324,Liverpool,Harvey Elliott,ENG,"MF,FW",20,2003,15.0,1141,8,91,546,512,71,1141,20,9,45.0,10,50.0,722,3946,1753,44,50,9,15,9,860,122
ENG-Premier League,2324,Liverpool,Ibrahima Konaté,FRA,DF,24,1999,17.5,1622,86,533,1018,80,16,1622,10,6,60.0,1,10.0,1081,5747,3590,24,17,0,8,5,1162,3
ENG-Premier League,2324,Liverpool,James McConnell,ENG,MF,18,2004,0.0,10,0,1,7,2,0,10,1,0,0.0,0,0.0,5,47,11,0,1,0,1,0,6,0
ENG-Premier League,2324,Liverpool,Jarell Quansah,ENG,DF,20,2003,13.2,1284,92,521,724,46,8,1284,7,4,57.1,3,42.9,894,4943,2497,13,10,0,3,2,952,1
ENG-Premier League,2324,Liverpool,Jayden Danns,ENG,FW,17,2006,0.1,7,0,0,3,4,0,7,0,0,,0,,3,11,5,0,1,0,0,0,4,2
ENG-Premier League,2324,Liverpool,Joe Gomez,ENG,DF,26,1997,19.8,1564,85,371,832,375,28,1564,32,15,46.9,12,37.5,891,4686,2313,44,34,3,25,11,979,105
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,31,1991,8.7,665,90,303,327,37,12,665,2,0,0.0,2,100.0,421,2195,1406,8,13,0,3,4,451,1
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,18,2004,0.0,2,0,0,0,2,1,2,0,0,,0,,0,0,0,0,0,0,1,0,0,0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,7.5,573,17,119,235,225,17,573,15,4,26.7,10,66.7,310,1689,861,24,20,3,9,4,338,73
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,26,1997,29.2,1453,10,94,529,858,219,1453,140,67,47.9,57,40.7,1017,7500,3690,137,77,70,69,72,1128,302
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31,1992,28.2,1359,4,47,460,866,241,1352,77,27,35.1,49,63.6,977,5309,2614,98,54,66,77,59,1116,341
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,DF,20,2002,0.1,8,0,3,4,2,0,8,1,0,0.0,1,100.0,4,43,1,0,0,0,1,0,4,1
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21,2002,12.5,696,17,84,347,272,42,696,50,23,46.0,22,44.0,432,2458,1369,39,28,10,46,13,472,71
ENG-Premier League,2324,Liverpool,Stefan Bajcetic,ESP,MF,18,2004,0.3,12,0,4,8,0,0,12,0,0,,0,,9,46,24,0,0,0,0,0,9,0
ENG-Premier League,2324,Liverpool,Thiago Alcántara,ESP,MF,32,1991,0.1,10,0,4,5,1,0,10,0,0,,0,,9,33,15,0,0,0,0,0,9,0
ENG-Premier League,2324,Liverpool,Trent Alexander-Arnold,ENG,DF,24,1998,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97
ENG-Premier League,2324,Liverpool,Virgil van Dijk,NED,DF,32,1991,35.3,3235,384,1339,1757,146,78,3235,5,2,40.0,2,40.0,1981,9779,5235,32,19,0,7,4,2263,7
ENG-Premier League,2324,Liverpool,Wataru Endo,JPN,MF,30,1993,19.1,1514,48,295,1002,224,9,1514,16,10,62.5,5,31.3,890,3465,1523,10,21,2,27,22,1098,21
ENG-Premier League,2324,Luton Town,Albert Sambi Lokonga,BEL,MF,23,1999,14.5,899,54,223,513,170,11,899,22,11,50.0,7,31.8,528,3026,1706,29,19,2,12,11,597,13
ENG-Premier League,2324,Luton Town,Alfie Doughty,ENG,DF,23,1999,32.5,1998,102,541,665,818,76,1998,67,33,49.3,24,35.8,897,5522,2794,94,52,28,51,13,968,164
ENG-Premier League,2324,Luton Town,Amari'i Bell,JAM,DF,29,1994,19.1,1070,101,480,486,117,5,1070,27,10,37.0,15,55.6,584,3640,2020,32,25,1,18,5,607,10
ENG-Premier League,2324,Luton Town,Andros Townsend,ENG,"MF,FW",32,1991,13.4,582,21,89,223,280,21,582,34,16,47.1,14,41.2,347,2425,1099,47,31,7,35,26,366,71
ENG-Premier League,2324,Luton Town,Carlton Morris,ENG,"FW,MF",27,1995,31.8,1071,63,123,501,457,136,1066,55,31,56.4,20,36.4,548,2855,1152,37,32,18,54,53,799,120
ENG-Premier League,2324,Luton Town,Cauley Woodrow,ENG,"FW,MF",28,1994,4.7,223,18,42,85,99,21,223,3,2,66.7,1,33.3,117,527,204,7,7,1,9,8,157,22
ENG-Premier League,2324,Luton Town,Chiedozie Ogbene,IRL,"MF,DF",26,1997,22.2,1066,47,201,385,512,88,1066,121,61,50.4,44,36.4,650,6070,3710,127,74,45,59,21,660,150
ENG-Premier League,2324,Luton Town,Daiki Hashioka,JPN,DF,24,1999,6.6,355,51,165,137,55,2,355,2,1,50.0,1,50.0,184,799,303,3,3,0,8,6,206,16
ENG-Premier League,2324,Luton Town,Elijah Adebayo,ENG,FW,25,1998,15.8,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110
ENG-Premier League,2324,Luton Town,Fred Onyedinma,ENG,"DF,MF",26,1996,4.5,198,13,55,69,76,16,198,11,2,18.2,8,72.7,85,514,219,9,6,4,12,10,90,21
ENG-Premier League,2324,Luton Town,Gabriel Osho,NGA,DF,24,1998,20.5,968,179,535,384,60,20,968,12,7,58.3,5,41.7,461,2186,1100,10,9,1,12,10,482,4
ENG-Premier League,2324,Luton Town,Issa Kaboré,BFA,DF,22,2001,19.2,985,79,329,386,283,18,985,42,18,42.9,18,42.9,455,3134,1558,60,33,10,25,8,449,85
ENG-Premier League,2324,Luton Town,Jacob Brown,SCO,"MF,FW",25,1998,11.3,427,30,103,152,181,50,427,25,6,24.0,16,64.0,200,1112,504,25,14,9,24,25,237,53
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,0.2,11,8,11,0,0,0,11,0,0,,0,,3,29,26,0,0,0,0,0,3,0
ENG-Premier League,2324,Luton Town,Jordan Clark,ENG,MF,29,1993,14.5,694,36,130,339,234,42,694,42,12,28.6,24,57.1,385,2122,1004,21,20,7,25,21,439,39
ENG-Premier League,2324,Luton Town,Joseph Johnson,ENG,DF,17,2006,0.9,36,4,18,16,2,0,36,0,0,,0,,18,75,9,0,0,0,0,1,26,1
ENG-Premier League,2324,Luton Town,Luke Berry,ENG,"MF,DF",31,1992,3.6,143,5,28,70,46,13,143,3,2,66.7,0,0.0,56,140,30,1,2,0,5,4,70,7
ENG-Premier League,2324,Luton Town,Mads Juel Andersen,DEN,DF,25,1997,4.4,182,56,118,57,7,4,182,1,0,0.0,1,100.0,58,301,112,0,0,0,6,0,64,1
ENG-Premier League,2324,Luton Town,Marvelous Nakamba,ZIM,MF,29,1994,12.6,546,30,133,320,101,3,546,10,3,30.0,5,50.0,224,1064,344,1,8,0,10,4,251,5
ENG-Premier League,2324,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30,1993,12.2,481,30,114,240,130,15,481,16,9,56.3,6,37.5,235,961,378,10,7,5,12,16,270,15
ENG-Premier League,2324,Luton Town,Reece Burke,ENG,DF,26,1996,18.4,929,98,378,440,117,20,929,8,4,50.0,2,25.0,455,2080,1210,11,8,0,18,5,508,14
ENG-Premier League,2324,Luton Town,Ross Barkley,ENG,MF,29,1993,29.1,1777,73,374,1011,430,39,1777,104,66,63.5,34,32.7,1006,6393,2810,48,49,4,27,56,1114,39
ENG-Premier League,2324,Luton Town,Ryan Giles,ENG,"DF,MF",23,2000,5.6,273,20,81,74,119,4,273,8,4,50.0,3,37.5,116,517,241,9,5,2,7,1,129,30
ENG-Premier League,2324,Luton Town,Tahith Chong,CUW,"MF,FW",23,1999,22.0,819,30,160,351,324,52,819,72,25,34.7,32,44.4,520,3559,1880,57,47,9,59,40,560,101
ENG-Premier League,2324,Luton Town,Teden Mengi,ENG,DF,21,2002,27.4,1288,218,673,554,70,24,1288,11,7,63.6,3,27.3,596,3222,1660,15,8,2,22,5,616,1
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,1580,1129,1553,30,1,0,1580,2,2,100.0,0,0.0,805,4663,2432,0,0,0,1,0,657,0
ENG-Premier League,2324,Luton Town,Tom Lockyer,WAL,DF,28,1994,13.0,586,108,316,242,32,18,586,6,4,66.7,2,33.3,269,1504,883,6,6,1,6,2,247,2
ENG-Premier League,2324,Luton Town,Zack Nelson,ENG,"MF,DF",18,2004,0.1,6,0,3,3,0,0,6,0,0,,0,,2,9,2,0,0,0,1,0,2,0
ENG-Premier League,2324,Manchester City,Aymeric Laporte,ESP,DF,29,1994,0.1,14,2,7,6,1,1,14,0,0,,0,,10,23,1,0,0,0,0,0,10,0
ENG-Premier League,2324,Manchester City,Bernardo Silva,POR,"MF,FW",28,1994,28.6,2194,39,245,905,1055,146,2194,61,38,62.3,21,34.4,1500,8450,4544,140,74,37,43,34,1757,260
ENG-Premier League,2324,Manchester City,Cole Palmer,ENG,MF,21,2002,0.1,6,0,0,4,2,0,6,0,0,,0,,6,35,4,0,0,0,1,0,6,0
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,29,1993,30.9,1283,965,1263,20,0,0,1283,1,1,100.0,0,0.0,847,3714,2353,0,0,0,0,0,842,0
ENG-Premier League,2324,Manchester City,Erling Haaland,NOR,FW,23,2000,28.4,636,15,36,206,398,183,628,30,12,40.0,16,53.3,357,1628,728,35,13,22,41,19,489,126
ENG-Premier League,2324,Manchester City,Jack Grealish,ENG,"FW,MF",27,1995,11.2,697,7,53,206,443,82,697,41,18,43.9,11,26.8,522,4025,2080,87,46,50,19,22,578,146
ENG-Premier League,2324,Manchester City,James Mcatee,ENG,MF,20,2002,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Manchester City,Jeremy Doku,BEL,"FW,MF",21,2002,17.7,1161,5,76,275,825,226,1161,169,87,51.5,64,37.9,879,7535,4884,218,61,147,52,37,937,295
ENG-Premier League,2324,Manchester City,John Stones,ENG,"DF,MF",29,1994,11.8,907,54,239,484,189,10,907,6,1,16.7,4,66.7,596,3319,1646,16,24,1,5,6,742,24
ENG-Premier League,2324,Manchester City,Joško Gvardiol,CRO,DF,21,2002,25.9,2179,67,452,1124,622,60,2179,45,26,57.8,14,31.1,1285,6099,3249,63,49,15,23,14,1529,115
ENG-Premier League,2324,Manchester City,Julián Álvarez,ARG,"MF,FW",23,2000,29.4,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180
ENG-Premier League,2324,Manchester City,Kalvin Phillips,ENG,MF,27,1995,1.0,87,3,14,52,23,1,87,3,1,33.3,2,66.7,51,402,221,7,5,1,4,2,57,3
ENG-Premier League,2324,Manchester City,Kevin De Bruyne,BEL,MF,32,1991,13.6,1103,2,35,354,724,86,1103,33,10,30.3,21,63.6,633,2916,1647,47,40,12,13,20,833,133
ENG-Premier League,2324,Manchester City,Kyle Walker,ENG,DF,33,1990,30.7,2613,77,526,1358,749,41,2613,35,21,60.0,11,31.4,1509,7514,4015,74,67,7,24,13,1925,172
ENG-Premier League,2324,Manchester City,Manuel Akanji,SUI,"DF,MF",28,1995,27.9,2544,163,779,1385,392,27,2544,4,2,50.0,2,50.0,1639,8282,4923,46,51,3,14,9,1983,36
ENG-Premier League,2324,Manchester City,Mateo Kovačić,CRO,MF,29,1994,17.2,1689,33,226,1079,395,16,1689,32,20,62.5,7,21.9,1141,6091,2733,37,51,1,16,24,1431,38
ENG-Premier League,2324,Manchester City,Matheus Nunes,POR,MF,24,1998,7.3,529,13,59,234,243,36,529,23,9,39.1,13,56.5,347,2001,964,28,22,10,19,12,438,58
ENG-Premier League,2324,Manchester City,Nathan Aké,NED,DF,28,1995,22.7,2026,105,634,1116,281,38,2026,10,5,50.0,3,30.0,1280,6039,3501,24,43,1,8,2,1507,18
ENG-Premier League,2324,Manchester City,Oscar Bobb,NOR,"FW,MF",20,2003,3.4,219,4,13,36,173,27,219,18,11,61.1,6,33.3,139,671,395,13,5,5,6,6,159,38
ENG-Premier League,2324,Manchester City,Phil Foden,ENG,"FW,MF",23,2000,31.7,2146,22,174,785,1211,190,2146,102,47,46.1,46,45.1,1435,6921,3434,93,79,56,62,49,1753,269
ENG-Premier League,2324,Manchester City,Rico Lewis,ENG,"DF,MF",18,2004,9.0,620,8,119,287,220,30,620,9,4,44.4,4,44.4,380,1758,964,21,20,5,2,12,486,46
ENG-Premier League,2324,Manchester City,Rodri,ESP,MF,27,1996,32.6,3988,114,664,2337,1013,80,3988,64,42,65.6,14,21.9,2513,11575,6408,76,88,12,23,32,3242,55
ENG-Premier League,2324,Manchester City,Rúben Dias,POR,DF,26,1997,28.4,2877,231,1002,1600,282,34,2877,1,0,0.0,1,100.0,1996,10862,6693,34,70,1,10,7,2301,16
ENG-Premier League,2324,Manchester City,Sergio Gómez,ESP,"FW,MF",22,2000,0.6,59,0,10,19,30,3,59,2,2,100.0,0,0.0,38,231,112,4,0,1,0,0,48,4
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,30,1992,7.1,282,213,279,3,0,0,282,0,0,,0,,193,847,480,0,0,0,0,0,187,0
ENG-Premier League,2324,Manchester Utd,Aaron Wan-Bissaka,COD,DF,25,1997,19.8,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54
ENG-Premier League,2324,Manchester Utd,Alejandro Garnacho,ARG,FW,19,2004,28.5,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,940,8034,4211,178,83,102,69,49,1007,281
ENG-Premier League,2324,Manchester Utd,Amad Diallo,CIV,"FW,MF",21,2002,4.3,231,8,28,94,110,24,231,23,11,47.8,10,43.5,146,1035,355,11,12,4,7,14,163,31
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27,1996,38.0,1629,1224,1592,37,0,0,1629,1,1,100.0,0,0.0,1127,5997,3825,1,0,0,1,0,955,0
ENG-Premier League,2324,Manchester Utd,Anthony Martial,FRA,FW,27,1995,5.0,178,3,11,81,89,16,178,6,2,33.3,2,33.3,105,444,168,6,6,1,14,10,148,36
ENG-Premier League,2324,Manchester Utd,Antony,BRA,FW,23,2000,14.7,815,17,106,304,428,58,815,71,26,36.6,33,46.5,549,3686,1953,53,37,23,26,19,571,149
ENG-Premier League,2324,Manchester Utd,Bruno Fernandes,POR,"MF,FW",28,1994,34.6,2585,96,414,1069,1126,105,2580,44,19,43.2,21,47.7,1367,6155,3408,86,61,23,48,35,1715,182
ENG-Premier League,2324,Manchester Utd,Casemiro,BRA,"MF,DF",31,1992,22.0,1762,169,646,884,245,45,1762,18,9,50.0,8,44.4,984,3576,1729,12,22,1,15,17,1163,36
ENG-Premier League,2324,Manchester Utd,Christian Eriksen,DEN,MF,31,1992,12.7,896,27,165,492,246,12,896,6,3,50.0,3,50.0,515,2319,1199,20,21,2,8,14,620,23
ENG-Premier League,2324,Manchester Utd,Daniel Gore,ENG,MF,18,2004,0.0,2,0,0,1,1,0,2,0,0,,0,,2,6,2,0,0,0,0,0,1,0
ENG-Premier League,2324,Manchester Utd,Diogo Dalot,POR,DF,24,1999,35.3,2196,185,752,873,587,48,2196,52,31,59.6,18,34.6,1150,5414,2901,52,43,10,24,11,1256,111
ENG-Premier League,2324,Manchester Utd,Donny van de Beek,NED,DF,26,1997,0.0,4,0,0,2,2,2,4,0,0,,0,,1,1,0,0,0,0,1,0,1,1
ENG-Premier League,2324,Manchester Utd,Ethan Wheatley,ENG,FW,17,2006,0.2,6,0,0,3,3,0,6,0,0,,0,,3,35,0,0,0,0,1,2,2,1
ENG-Premier League,2324,Manchester Utd,Facundo Pellistri,URU,"FW,MF",21,2001,1.9,117,5,23,37,58,13,117,11,5,45.5,4,36.4,74,482,185,6,7,4,4,4,79,31
ENG-Premier League,2324,Manchester Utd,Hannibal Mejbri,TUN,"MF,FW",20,2003,1.5,59,2,12,30,19,3,59,5,2,40.0,1,20.0,35,156,74,2,0,0,7,4,34,10
ENG-Premier League,2324,Manchester Utd,Harry Maguire,ENG,DF,30,1993,18.4,1313,201,626,603,89,36,1313,2,0,0.0,2,100.0,702,4638,2771,20,13,2,9,2,782,2
ENG-Premier League,2324,Manchester Utd,Jadon Sancho,ENG,"FW,MF",23,2000,0.9,51,4,12,18,26,6,51,7,3,42.9,3,42.9,38,298,192,10,5,5,0,2,34,5
ENG-Premier League,2324,Manchester Utd,Jonny Evans,NIR,DF,35,1988,15.5,1005,185,556,420,31,8,1005,7,4,57.1,2,28.6,567,2683,1441,7,5,0,5,3,625,1
ENG-Premier League,2324,Manchester Utd,Kobbie Mainoo,ENG,MF,18,2005,21.4,1094,62,302,568,236,30,1094,58,31,53.4,22,37.9,667,3152,1447,25,22,6,29,24,767,36
ENG-Premier League,2324,Manchester Utd,Lisandro Martínez,ARG,DF,25,1998,7.2,510,75,234,259,18,2,510,4,2,50.0,1,25.0,338,1775,1062,8,3,0,1,3,351,1
ENG-Premier League,2324,Manchester Utd,Luke Shaw,ENG,DF,28,1995,10.7,754,81,283,326,148,12,754,11,7,63.6,4,36.4,398,1854,832,10,11,1,14,6,435,30
ENG-Premier League,2324,Manchester Utd,Marcus Rashford,ENG,FW,25,1997,25.2,1025,24,124,345,571,130,1023,109,48,44.0,53,48.6,690,4978,2393,95,51,64,59,38,799,185
ENG-Premier League,2324,Manchester Utd,Mason Mount,ENG,"MF,FW",24,1999,5.7,289,11,44,125,125,17,289,12,4,33.3,6,50.0,152,797,321,9,5,2,11,6,180,34
ENG-Premier League,2324,Manchester Utd,Omari Forson,ENG,FW,19,2004,0.8,39,0,2,25,12,1,39,2,1,50.0,1,50.0,29,115,34,1,3,0,1,0,31,2
ENG-Premier League,2324,Manchester Utd,Raphaël Varane,FRA,DF,30,1993,15.3,945,178,469,434,44,11,945,2,1,50.0,1,50.0,549,3541,2161,16,11,0,6,2,569,2
ENG-Premier League,2324,Manchester Utd,Rasmus Højlund,DEN,FW,20,2003,24.0,612,20,61,262,297,96,612,38,18,47.4,18,47.4,355,2082,1088,35,26,14,50,29,429,111
ENG-Premier League,2324,Manchester Utd,Scott McTominay,SCO,"MF,FW",26,1996,21.1,927,78,235,478,225,53,927,21,8,38.1,10,47.6,485,2221,1032,29,22,4,29,23,572,47
ENG-Premier League,2324,Manchester Utd,Sergio Reguilón,ESP,DF,26,1996,4.6,378,8,70,155,155,9,378,11,3,27.3,4,36.4,184,847,441,11,4,2,8,1,217,38
ENG-Premier League,2324,Manchester Utd,Sofyan Amrabat,MAR,"MF,DF",26,1996,10.4,770,48,218,439,120,1,770,10,6,60.0,2,20.0,489,2362,947,6,8,0,9,11,545,10
ENG-Premier League,2324,Manchester Utd,Victor Lindelöf,SWE,DF,29,1994,14.8,1037,102,466,463,114,15,1037,1,1,100.0,0,0.0,620,3077,1621,17,14,0,5,3,706,17
ENG-Premier League,2324,Manchester Utd,Willy Kambwala,FRA,DF,18,2004,3.7,232,27,142,88,2,0,232,2,0,0.0,2,100.0,124,689,377,2,1,0,3,1,149,1
ENG-Premier League,2324,Newcastle Utd,Alex Murphy,IRL,"DF,FW",19,2004,0.1,21,0,4,15,2,0,21,0,0,,0,,16,72,37,0,0,0,1,0,16,0
ENG-Premier League,2324,Newcastle Utd,Alexander Isak,SWE,FW,23,1999,25.1,725,19,46,299,387,139,720,74,42,56.8,28,37.8,421,3052,1613,68,31,38,49,23,511,129
ENG-Premier League,2324,Newcastle Utd,Amadou Diallo,ENG,MF,20,2003,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Newcastle Utd,Anthony Gordon,ENG,FW,22,2001,32.1,1424,15,158,555,733,147,1423,133,54,40.6,56,42.1,955,7622,3668,138,73,59,70,40,1026,232
ENG-Premier League,2324,Newcastle Utd,Ben Parkinson,ENG,FW,18,2005,0.3,6,2,2,1,3,0,6,0,0,,0,,0,0,0,0,0,0,0,0,2,0
ENG-Premier League,2324,Newcastle Utd,Bruno Guimarães,BRA,MF,25,1997,36.3,2734,90,573,1482,722,75,2734,132,72,54.5,41,31.1,1842,10297,4241,65,73,19,61,70,2107,73
ENG-Premier League,2324,Newcastle Utd,Callum Wilson,ENG,FW,31,1992,11.0,304,6,11,132,168,77,302,32,14,43.8,15,46.9,212,1020,322,11,8,13,47,35,254,77
ENG-Premier League,2324,Newcastle Utd,Dan Burn,ENG,DF,31,1992,30.3,2007,204,948,851,212,46,2007,6,4,66.7,2,33.3,924,3930,1664,14,7,3,15,10,1150,25
ENG-Premier League,2324,Newcastle Utd,Elliot Anderson,ENG,"MF,FW",20,2002,11.4,640,23,109,278,267,46,640,43,21,48.8,18,41.9,364,2272,1213,37,23,4,28,22,416,70
ENG-Premier League,2324,Newcastle Utd,Emil Krafth,SWE,DF,28,1994,10.1,661,48,279,241,145,10,661,6,3,50.0,2,33.3,358,1588,720,12,9,1,8,3,423,33
ENG-Premier League,2324,Newcastle Utd,Fabian Schär,SUI,DF,31,1991,33.9,2483,359,1304,1060,140,40,2483,22,13,59.1,8,36.4,1490,7974,4981,28,42,1,17,12,1677,20
ENG-Premier League,2324,Newcastle Utd,Harvey Barnes,ENG,"FW,MF",25,1997,8.9,360,5,48,117,200,60,360,25,7,28.0,14,56.0,266,1782,1093,45,21,23,12,16,285,79
ENG-Premier League,2324,Newcastle Utd,Jacob Murphy,ENG,"FW,DF",28,1995,13.2,666,24,111,229,339,53,666,27,13,48.1,13,48.1,381,2179,981,33,27,15,19,14,434,113
ENG-Premier League,2324,Newcastle Utd,Jamaal Lascelles,ENG,DF,29,1993,12.0,872,101,397,437,41,20,872,3,1,33.3,1,33.3,519,2493,1461,8,6,0,2,4,634,3
ENG-Premier League,2324,Newcastle Utd,Joe White,ENG,MF,20,2002,0.1,13,1,3,6,4,0,13,0,0,,0,,9,80,41,2,0,0,0,0,9,3
ENG-Premier League,2324,Newcastle Utd,Joe Willock,ENG,MF,23,1999,4.7,225,3,42,107,80,18,225,18,7,38.9,11,61.1,133,891,490,16,5,5,14,6,156,26
ENG-Premier League,2324,Newcastle Utd,Joelinton,BRA,"MF,FW",26,1996,14.2,808,37,152,410,253,38,808,35,17,48.6,11,31.4,436,2159,1061,29,24,6,22,28,583,60
ENG-Premier League,2324,Newcastle Utd,Kieran Trippier,ENG,DF,32,1990,24.8,2344,96,732,969,665,36,2344,22,16,72.7,6,27.3,1078,4247,2049,34,37,5,20,9,1411,128
ENG-Premier League,2324,Newcastle Utd,Lewis Hall,ENG,DF,18,2004,8.7,668,35,255,285,137,12,668,18,9,50.0,7,38.9,343,1783,1035,19,16,5,9,13,400,27
ENG-Premier League,2324,Newcastle Utd,Lewis Miley,ENG,MF,17,2006,13.4,674,36,164,305,212,35,674,17,8,47.1,8,47.1,350,1664,654,14,7,6,16,10,435,54
ENG-Premier League,2324,Newcastle Utd,Loris Karius,GER,GK,30,1993,1.0,41,34,41,0,0,0,41,0,0,,0,,17,57,25,0,0,0,0,0,15,0
ENG-Premier League,2324,Newcastle Utd,Martin Dúbravka,SVK,GK,34,1989,22.1,709,604,702,7,0,0,709,0,0,,0,,378,2050,1374,0,0,0,3,0,260,0
ENG-Premier League,2324,Newcastle Utd,Matt Ritchie,SCO,"FW,MF",33,1989,1.4,125,6,26,42,57,9,125,2,0,0.0,1,50.0,58,293,160,5,5,2,3,1,85,13
ENG-Premier League,2324,Newcastle Utd,Matt Targett,ENG,DF,27,1995,0.9,51,1,22,25,5,0,51,2,0,0.0,1,50.0,34,153,91,1,1,0,0,0,33,0
ENG-Premier League,2324,Newcastle Utd,Michael Ndiweni,ENG,FW,19,2003,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Miguel Almirón,PAR,FW,29,1994,21.5,1029,25,137,430,475,86,1029,52,23,44.2,22,42.3,652,4488,2276,78,43,22,30,27,741,162
