,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,415,404,10,3,2,4,50,6,0,0,0,0,289,1,13
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,95,93,0,0,1,0,5,0,0,0,0,0,58,2,4
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,742,664,74,3,1,3,62,71,0,0,0,0,496,4,29
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,1202,924,272,47,8,25,113,111,65,32,16,5,875,6,24
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,593,526,64,3,1,0,8,61,0,0,0,0,446,3,11
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,392,362,28,6,5,2,8,10,1,0,0,0,282,2,28
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26,1997,4.5,183,165,17,2,0,3,11,15,0,0,0,0,147,1,4
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,448,370,74,15,0,3,42,34,24,10,10,0,325,4,8
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,522,428,91,29,1,1,72,35,27,8,11,0,351,3,19
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,90,87,3,0,0,0,3,1,0,0,0,0,66,0,5
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1398,1345,49,14,4,12,59,29,6,2,1,2,1088,4,26
