,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0
ENG-Premier League,2324,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,21,2002,0.8,3,2,1,2,0,1,1,100.0,0,3,2,1,3,6,8,0
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0
