,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,10,2.14,4,5,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,8,5.07,6,0,1,0,1,0,1,0.63,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0
ENG-Premier League,2324,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,44,1.71,33,2,4,3,1,1,6,0.23,5,0,0,0,1,0
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,76,3.26,55,0,10,8,3,0,4,0.17,3,0,0,1,0,0
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,50,2.3,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,DF,19,2003,2.3,3,1.31,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,8,1.59,5,0,1,0,2,0,1,0.2,0,0,0,0,1,0
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,13,0.45,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.2,3,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,"MF,FW",19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,"FW,MF",20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"FW,MF",25,1997,4.9,13,2.65,10,0,1,1,1,0,1,0.2,1,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"FW,MF",21,2002,29.0,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,23,2000,34.8,109,3.14,78,15,5,4,1,6,14,0.4,7,5,0,1,0,1
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,"DF,FW",18,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,22,2001,24.5,82,3.34,69,5,0,3,5,0,7,0.29,5,1,0,0,1,0
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,"FW,MF",21,2002,2.3,5,2.15,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Jimi Tauriainen,ENG,FW,19,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Joshua Acheampong,ENG,DF,17,2006,0.1,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19,2004,3.3,5,1.5,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Levi Colwill,ENG,DF,20,2003,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Malo Gusto,FRA,DF,20,2003,19.5,52,2.67,47,2,1,0,0,2,7,0.36,7,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Marc Cucurella,ESP,DF,25,1998,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0
ENG-Premier League,2324,Chelsea,Mason Burstow,ENG,FW,19,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Moisés Caicedo,ECU,MF,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1
ENG-Premier League,2324,Chelsea,Mykhailo Mudryk,UKR,FW,22,2001,17.5,60,3.43,39,10,7,1,3,0,9,0.51,3,1,2,1,2,0
ENG-Premier League,2324,Chelsea,Nicolas Jackson,SEN,FW,22,2001,31.1,95,3.05,60,1,18,8,6,2,11,0.35,7,0,2,2,0,0
ENG-Premier League,2324,Chelsea,Noni Madueke,ENG,FW,21,2002,11.7,51,4.35,34,1,8,2,6,0,8,0.68,4,0,1,0,3,0
ENG-Premier League,2324,Chelsea,Raheem Sterling,ENG,"FW,MF",28,1994,22.0,85,3.87,55,0,15,4,7,4,14,0.64,7,0,4,0,3,0
ENG-Premier League,2324,Chelsea,Reece James,ENG,DF,23,1999,4.7,15,3.22,13,1,0,1,0,0,3,0.64,2,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,2,0.13,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,19,2004,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,38,1984,28.1,27,0.96,25,1,0,1,0,0,4,0.14,3,0,0,1,0,0
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19,2004,14.4,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,23,2000,10.2,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"DF,MF",23,2000,23.3,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,"DF,MF",27,1996,16.0,46,2.88,38,2,1,1,2,2,7,0.44,5,1,1,0,0,0
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,"MF,DF",18,2005,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25,1998,22.8,110,4.82,54,27,11,7,10,1,11,0.48,8,0,1,0,2,0
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34,1989,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",26,1996,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26,1997,25.4,65,2.56,48,0,5,6,4,2,12,0.47,8,0,1,1,2,0
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,"MF,DF",28,1994,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",30,1992,15.0,28,1.86,21,0,2,1,2,2,3,0.2,3,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jesurun Rak Sakyi,ENG,"MF,FW",20,2002,1.5,6,3.97,4,0,2,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,33,1989,22.0,16,0.73,13,2,0,1,0,0,3,0.14,2,1,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23,2000,22.5,22,0.98,17,0,0,2,2,1,2,0.09,2,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19,2004,2.6,8,3.1,4,3,0,0,1,0,2,0.78,1,0,0,0,1,0
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",21,2001,14.2,82,5.79,44,15,11,5,7,0,14,0.99,11,1,2,0,0,0
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21,2002,3.9,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",25,1998,17.3,45,2.6,29,0,7,7,1,1,2,0.12,2,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,2,0.1,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",23,1999,35.6,47,1.32,40,2,1,2,1,1,4,0.11,4,0,0,0,0,0
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28,1995,21.0,48,2.29,34,9,1,0,2,2,5,0.24,5,0,0,0,0,0
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",30,1993,29.2,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27,1996,1.6,12,7.77,6,1,2,3,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,21,2001,23.2,56,2.41,47,0,1,3,4,1,1,0.04,0,0,0,0,0,1
ENG-Premier League,2324,Everton,André Gomes,POR,"MF,FW",30,1993,5.6,18,3.18,13,0,1,2,1,1,1,0.18,1,0,0,0,0,0
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",26,1997,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38,1985,25.3,58,2.29,38,10,1,4,3,2,1,0.04,0,0,0,0,1,0
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,25,1998,12.4,17,1.37,9,1,0,5,0,2,3,0.24,1,0,0,1,0,1
ENG-Premier League,2324,Everton,Beto,GNB,FW,25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",23,1999,32.1,130,4.05,77,33,5,6,6,3,9,0.28,3,4,0,1,1,0
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,33,1989,20.9,52,2.48,37,0,0,5,4,6,4,0.19,4,0,0,0,0,0
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",26,1996,24.6,66,2.68,46,2,3,7,6,2,7,0.28,5,0,0,1,1,0
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22,2001,33.4,98,2.94,58,22,3,6,4,5,8,0.24,3,1,0,1,1,2
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,30,1992,38.0,44,1.16,38,0,1,4,0,1,3,0.08,3,0,0,0,0,0
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21,2002,34.6,25,0.72,20,0,0,1,3,1,4,0.12,3,0,0,0,1,0
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,24,0.63,14,10,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,20,2003,2.6,6,2.33,3,0,0,2,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Lewis Warrington,ENG,FW,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,30,1993,4.9,4,0.82,3,0,0,1,0,0,1,0.21,0,0,0,1,0,0
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,21,2001,11.2,20,1.79,14,3,0,1,0,2,2,0.18,2,0,0,0,0,0
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,26,1996,1.2,3,2.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24,1999,27.4,37,1.35,32,0,1,4,0,0,3,0.11,1,0,0,2,0,0
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",27,1996,4.2,14,3.34,12,0,1,1,0,0,5,1.19,4,0,1,0,0,0
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,28,1994,0.4,2,5.45,1,0,1,0,0,0,1,2.73,1,0,0,0,0,0
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27,1996,24.4,103,4.23,87,0,6,9,0,1,10,0.41,8,0,0,2,0,0
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,27,1996,29.0,137,4.72,80,48,3,3,3,0,15,0.52,10,4,1,0,0,0
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,25,1997,36.3,69,1.9,63,2,2,0,1,1,7,0.19,7,0,0,0,0,0
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,21,2001,1.0,1,1.01,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Bobby De Cordova-Reid,JAM,FW,30,1993,15.8,35,2.17,29,0,1,3,0,2,4,0.25,3,0,0,0,0,1
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28,1995,3.5,9,2.57,8,0,1,0,0,0,1,0.29,1,0,0,0,0,0
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",26,1997,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,28,1995,14.7,29,1.97,25,3,0,0,1,0,5,0.34,3,2,0,0,0,0
ENG-Premier League,2324,Fulham,Harry Wilson,WAL,FW,26,1997,18.0,65,3.61,42,4,5,4,8,2,10,0.56,9,0,0,0,1,0
ENG-Premier League,2324,Fulham,Issa Diop,FRA,DF,26,1997,15.8,4,0.25,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,João Palhinha,POR,MF,28,1995,30.0,33,1.1,23,2,0,4,2,2,2,0.07,1,0,0,1,0,0
ENG-Premier League,2324,Fulham,Kenny Tete,NED,DF,27,1995,9.6,15,1.56,11,0,2,1,1,0,2,0.21,1,0,0,0,1,0
ENG-Premier League,2324,Fulham,Luke Harris,WAL,MF,18,2005,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Raúl Jiménez,MEX,FW,32,1991,15.5,27,1.74,15,0,4,6,1,1,3,0.19,0,0,1,2,0,0
ENG-Premier League,2324,Fulham,Rodrigo Muniz,BRA,FW,22,2001,17.7,39,2.2,21,0,3,9,4,2,2,0.11,1,0,0,1,0,0
ENG-Premier League,2324,Fulham,Saša Lukić,SRB,MF,26,1996,12.5,27,2.17,19,0,1,6,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Tim Ream,USA,DF,35,1987,16.7,10,0.6,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2324,Fulham,Timothy Castagne,BEL,DF,27,1995,29.3,50,1.71,39,2,4,4,0,1,2,0.07,2,0,0,0,0,0
ENG-Premier League,2324,Fulham,Tom Cairney,SCO,MF,32,1991,16.5,71,4.3,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0
ENG-Premier League,2324,Fulham,Tosin Adarabioyo,ENG,DF,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Fulham,Willian,BRA,FW,34,1988,22.8,111,4.87,81,15,4,9,2,0,10,0.44,10,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Alexis Mac Allister,ARG,MF,24,1998,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28.0,11,0.39,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Andrew Robertson,SCO,DF,29,1994,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0
ENG-Premier League,2324,Liverpool,Ben Gannon-Doak,SCO,FW,17,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Bobby Clark,ENG,MF,18,2005,1.0,1,1.01,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Cody Gakpo,NED,"FW,MF",24,1999,18.3,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0
ENG-Premier League,2324,Liverpool,Conor Bradley,NIR,DF,20,2003,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0
ENG-Premier League,2324,Liverpool,Curtis Jones,ENG,MF,22,2001,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Darwin Núñez,URU,FW,24,1999,22.7,79,3.47,60,0,5,12,2,0,14,0.62,11,0,0,2,1,0
ENG-Premier League,2324,Liverpool,Diogo Jota,POR,FW,26,1996,12.7,48,3.77,36,0,5,3,4,0,14,1.1,7,0,4,1,2,0
ENG-Premier League,2324,Liverpool,Dominik Szoboszlai,HUN,MF,22,2000,23.4,115,4.92,84,21,4,3,3,0,7,0.3,5,0,0,1,1,0
ENG-Premier League,2324,Liverpool,Harvey Elliott,ENG,"MF,FW",20,2003,15.0,78,5.19,61,9,2,3,1,2,10,0.67,6,1,1,0,1,1
ENG-Premier League,2324,Liverpool,Ibrahima Konaté,FRA,DF,24,1999,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2324,Liverpool,James McConnell,ENG,MF,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Jarell Quansah,ENG,DF,20,2003,13.2,13,0.98,13,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Jayden Danns,ENG,FW,17,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Joe Gomez,ENG,DF,26,1997,19.8,51,2.57,43,0,1,4,3,0,5,0.25,4,0,0,1,0,0
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,31,1991,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,7.5,32,4.24,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,26,1997,29.2,163,5.58,121,1,17,15,8,1,9,0.31,9,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31,1992,28.2,139,4.94,103,2,7,21,5,1,20,0.71,14,0,2,3,1,0
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,DF,20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21,2002,12.5,44,3.54,36,0,2,6,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Stefan Bajcetic,ESP,MF,18,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Thiago Alcántara,ESP,MF,32,1991,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Trent Alexander-Arnold,ENG,DF,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0
ENG-Premier League,2324,Liverpool,Virgil van Dijk,NED,DF,32,1991,35.3,59,1.67,54,0,0,5,0,0,4,0.11,4,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Wataru Endo,JPN,MF,30,1993,19.1,54,2.82,43,0,2,4,2,3,3,0.16,3,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Albert Sambi Lokonga,BEL,MF,23,1999,14.5,27,1.86,22,0,0,1,3,1,3,0.21,3,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Alfie Doughty,ENG,DF,23,1999,32.5,115,3.54,57,47,4,6,1,0,16,0.49,8,5,1,2,0,0
ENG-Premier League,2324,Luton Town,Amari'i Bell,JAM,DF,29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Andros Townsend,ENG,"MF,FW",32,1991,13.4,36,2.68,24,5,3,3,1,0,6,0.45,4,0,1,1,0,0
ENG-Premier League,2324,Luton Town,Carlton Morris,ENG,"FW,MF",27,1995,31.8,71,2.23,49,0,5,10,6,1,8,0.25,4,0,0,3,1,0
ENG-Premier League,2324,Luton Town,Cauley Woodrow,ENG,"FW,MF",28,1994,4.7,17,3.57,13,0,1,2,1,0,2,0.42,2,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Chiedozie Ogbene,IRL,"MF,DF",26,1997,22.2,79,3.56,51,2,12,5,9,0,9,0.41,1,0,2,2,4,0
ENG-Premier League,2324,Luton Town,Daiki Hashioka,JPN,DF,24,1999,6.6,8,1.21,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Elijah Adebayo,ENG,FW,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0
ENG-Premier League,2324,Luton Town,Fred Onyedinma,ENG,"DF,MF",26,1996,4.5,5,1.11,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Gabriel Osho,NGA,DF,24,1998,20.5,8,0.39,7,0,1,0,0,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Issa Kaboré,BFA,DF,22,2001,19.2,32,1.67,25,0,2,2,1,2,4,0.21,3,0,0,1,0,0
ENG-Premier League,2324,Luton Town,Jacob Brown,SCO,"MF,FW",25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Jordan Clark,ENG,MF,29,1993,14.5,29,2.0,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Joseph Johnson,ENG,DF,17,2006,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Luke Berry,ENG,"MF,DF",31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0
ENG-Premier League,2324,Luton Town,Mads Juel Andersen,DEN,DF,25,1997,4.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Marvelous Nakamba,ZIM,MF,29,1994,12.6,13,1.03,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Pelly Ruddock Mpanzu,COD,MF,30,1993,12.2,19,1.55,12,1,2,1,2,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Reece Burke,ENG,DF,26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0
ENG-Premier League,2324,Luton Town,Ross Barkley,ENG,MF,29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0
ENG-Premier League,2324,Luton Town,Ryan Giles,ENG,"DF,MF",23,2000,5.6,12,2.15,8,3,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Tahith Chong,CUW,"MF,FW",23,1999,22.0,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0
ENG-Premier League,2324,Luton Town,Teden Mengi,ENG,DF,21,2002,27.4,14,0.51,11,0,2,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Luton Town,Tom Lockyer,WAL,DF,28,1994,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0
