join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened,referee,matchday
2024-02-19_Everton,22137,2024-02-19,Everton,Crystal Palace,1,1,2.44588,0.734685,2023,Everton v Crystal Palace,Everton,Paul Tierney,25
2024-02-20_Manchester,22074,2024-02-20,Manchester City,Brentford,1,0,2.53766,0.503799,2023,Manchester City v Brentford,Manchester,Darren England,18
2024-02-21_Liverpool,22151,2024-02-21,Liverpool,Luton,4,1,3.70302,0.956512,2023,Liverpool v Luton,Liverpool,Andy Madley,26
2024-02-24_Aston,22147,2024-02-24,Aston Villa,Nottingham Forest,4,2,3.48861,2.25569,2023,Aston Villa v Nottingham Forest,Aston,Sam Barrott,26
2024-02-24_Brighton,22148,2024-02-24,Brighton,Everton,1,1,1.6538,0.286655,2023,Brighton v Everton,Brighton,Tony Harrington,26
2024-02-24_Crystal,22150,2024-02-24,Crystal Palace,Burnley,3,0,2.41612,0.0760216,2023,Crystal Palace v Burnley,Crystal,Lewis Smith,26
2024-02-24_Manchester,22152,2024-02-24,Manchester United,Fulham,1,2,1.96036,1.1385,2023,Manchester United v Fulham,Manchester,Michael Oliver,26
2024-02-24_Bournemouth,22145,2024-02-24,Bournemouth,Manchester City,0,1,0.925889,1.79636,2023,Bournemouth v Manchester City,Bournemouth,Jarred Gillett,26
2024-02-24_Arsenal,22146,2024-02-24,Arsenal,Newcastle United,4,1,2.59336,0.217373,2023,Arsenal v Newcastle United,Arsenal,Paul Tierney,26
2024-02-25_Wolverhampton,22154,2024-02-25,Wolverhampton Wanderers,Sheffield United,1,0,1.21618,0.654342,2023,Wolverhampton Wanderers v Sheffield United,Wolverhampton,Darren Bond,26
2024-02-26_West,22153,2024-02-26,West Ham,Brentford,4,2,2.06873,1.33683,2023,West Ham v Brentford,West,Simon Hooper,26
2024-03-02_Brentford,22155,2024-03-02,Brentford,Chelsea,2,2,2.4732,2.1523,2023,Brentford v Chelsea,Brentford,Jarred Gillett,27
2024-03-02_Everton,22157,2024-03-02,Everton,West Ham,1,3,3.12075,2.17948,2023,Everton v West Ham,Everton,Craig Pawson,27
