League,season_id,Team,Player,Season,position,Matches,Minutes,Goals,xG,Non-Penalty Goals,Non-Penalty xG,Assists,xA,Shots,Key Passes,Yellow Cards,Red Cards,xg_chain,xg_buildup
Premier League,2526,Burnley,Chimuanya Ugochukwu,2025,M S,9,534,2,1.178139865398407,2,1.178139865398407,0,0.07150717824697495,6,1,0,1,1.8995166905224323,1.1775889955461025
Premier League,2526,Burnley,Florentino Luís,2025,M S,7,564,0,0.643765889108181,0,0.643765889108181,1,0.15061635710299015,3,5,1,0,0.9917985983192921,0.8171673910692334
Premier League,2526,Burnley,Hannibal Mejbri,2025,M S,9,276,0,0.16881035827100277,0,0.16881035827100277,1,0.7295660674571991,3,3,1,0,1.0756922289729118,0.600456103682518
Premier League,2526,Burnley,Hjalmar Ekdal,2025,D S,7,541,0,0.46021861117333174,0,0.46021861117333174,0,0.12951614521443844,3,2,0,0,0.49263355135917664,0.3806416131556034
Premier League,2526,Burnley,Jacob Bruun Larsen,2025,M S,8,401,0,0.18747013062238693,0,0.18747013062238693,1,0.5822235345840454,4,2,0,0,1.8349633738398552,1.1812326535582542
Premier League,2526,Burnley,Jaidon Anthony,2025,M,10,828,4,2.3332930095493793,4,2.3332930095493793,1,0.3474990166723728,13,8,3,0,3.694704070687294,1.2761834859848022
Premier League,2526,Burnley,Joe Worrall,2025,S,4,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2526,Burnley,Josh Cullen,2025,M,10,863,1,0.12402439303696156,1,0.12402439303696156,1,0.7540347389876842,4,8,1,0,3.314408930018544,2.5975482016801834
Premier League,2526,Burnley,Josh Laurent,2025,D M S,10,548,0,0.13382394891232252,0,0.13382394891232252,0,0.12265605479478836,5,1,1,0,0.409012071788311,0.19286167062819004
Premier League,2526,Burnley,Kyle Walker,2025,D,10,900,0,0.0805505272001028,0,0.0805505272001028,1,0.4297392666339874,3,1,2,0,2.668924003839493,2.634258732199669
Premier League,2526,Burnley,Loum Tchaouna,2025,M S,9,367,1,0.33420821093022823,1,0.33420821093022823,0,0.14699222147464752,6,1,1,0,1.0698163490742445,0.635299775749445
Premier League,2526,Burnley,Lyle Foster,2025,F S,8,594,2,1.3705432750284672,2,1.3705432750284672,1,0.6672525368630886,8,6,2,0,2.242615096271038,0.4273011013865471
Premier League,2526,Burnley,Marcus Edwards,2025,S,2,9,0,0.05944499373435974,0,0.05944499373435974,0,0.0,1,0,0,0,0.0,0.0
Premier League,2526,Burnley,Martin Dubravka,2025,GK,10,900,0,0.0,0,0.0,0,0.0,0,0,0,0,0.233524888753891,0.233524888753891
Premier League,2526,Burnley,Maxime Estève,2025,D,10,897,0,0.1381386984139681,0,0.1381386984139681,0,0.6199607588350773,4,2,0,0,0.3821956664323807,0.36328139156103134
Premier League,2526,Burnley,Oliver Sonne,2025,D S,3,93,0,0.016889376565814018,0,0.016889376565814018,0,0.02691812254488468,1,1,0,0,0.1495741754770279,0.12265605479478836
Premier League,2526,Burnley,Quilindschy Hartman,2025,D,10,900,0,0.07686088513582945,0,0.07686088513582945,4,1.3680050736293197,4,10,1,0,1.5541626922786236,1.3026166707277298
Premier League,2526,Burnley,Zian Flemming,2025,F S,7,270,2,0.8845815435051918,2,0.8845815435051918,0,0.2714919000864029,6,2,1,0,1.1144458577036858,0.032663311809301376
Premier League,2526,Chelsea,Alejandro Garnacho,2025,M S,5,268,1,0.7127541564404964,1,0.7127541564404964,0,0.5423990413546562,6,3,0,0,1.4022223241627216,0.6134105436503887
Premier League,2526,Chelsea,Andrey Santos,2025,M S,7,206,0,0.898050345480442,0,0.898050345480442,0,0.1343465819954872,5,3,2,0,1.1585273668169975,0.1742713302373886
Premier League,2526,Chelsea,Benoit Badiashile Mukinayi,2025,D S,2,66,0,0.0,0,0.0,0,0.0,0,0,1,0,0.03168066218495369,0.03168066218495369
Premier League,2526,Chelsea,Cole Palmer,2025,M S,3,143,1,0.5224495083093643,1,0.5224495083093643,0,0.015278443694114685,9,1,0,0,0.6714966893196106,0.25048750825226307
Premier League,2526,Chelsea,Enzo Fernández,2025,M,9,802,3,4.716313771903515,2,3.9551449343562126,1,2.0346964448690414,17,15,2,0,7.847383365035057,4.550182119011879
Premier League,2526,Chelsea,Estêvão,2025,F M S,9,319,1,1.9587313830852509,1,1.9587313830852509,1,1.2098083160817623,11,5,2,0,4.909597158432007,2.599690690636635
Premier League,2526,Chelsea,Facundo Buonanotte,2025,M,1,47,0,0.0,0,0.0,0,0.1689806431531906,0,2,0,0,0.1689806431531906,0.1689806431531906
Premier League,2526,Chelsea,Filip Jorgensen,2025,S,1,85,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2526,Chelsea,Jamie Bynoe-Gittens,2025,M S,8,217,0,0.6133146677166224,0,0.6133146677166224,0,0.21250656247138977,6,5,0,0,1.8465675041079521,1.130567530170083
Premier League,2526,Chelsea,Jorrel Hato,2025,D S,4,163,0,0.0,0,0.0,0,0.0,0,0,2,0,1.1571339331567287,1.1571339331567287
